WarehouseID,WarehouseCity,ProductID,StockQuantity,ReservedQuantity,AvailableQuantity,ReorderLevel,RestockQuantity,LastRestockDate,InventoryStatus
W008,Sydney,P00099,12,4,0,50,250,2026-03-11,Low Stock
W007,Milan,P00100,1102,38,1088,100,500,2026-04-27,In Stock
W004,Los Angeles,P00101,558,31,557,75,375,2026-05-10,In Stock
W006,Berlin,P00102,828,29,820,30,150,2026-04-10,In Stock
W001,New York,P00103,806,36,805,100,500,2026-06-18,In Stock
W007,Milan,P00104,277,11,274,75,375,2026-05-26,In Stock
W007,Milan,P00105,670,29,650,30,150,2026-05-16,In Stock
W007,Milan,P00106,569,16,564,75,375,2026-04-29,In Stock
W001,New York,P00107,1104,22,1090,20,100,2026-04-06,In Stock
W002,Chicago,P00108,82,15,70,20,100,2026-03-13,In Stock
W001,New York,P00109,312,8,282,30,150,2026-04-04,In Stock
W002,Chicago,P00110,1155,29,1139,30,150,2026-03-22,In Stock
W006,Berlin,P00111,343,38,336,100,500,2026-03-21,In Stock
W003,Dallas,P00112,637,37,636,20,100,2026-03-02,In Stock
W005,London,P00113,1179,25,1167,75,375,2026-06-19,In Stock
W004,Los Angeles,P00114,208,38,201,50,250,2026-03-19,In Stock
W001,New York,P00115,711,27,688,100,500,2026-06-20,In Stock
W006,Berlin,P00116,25,15,19,75,375,2026-05-04,Low Stock
W006,Berlin,P00117,941,27,930,30,150,2026-03-27,In Stock
W005,London,P00118,1102,29,1075,75,375,2026-03-15,In Stock
W005,London,P00119,660,5,643,30,150,2026-03-08,In Stock
W008,Sydney,P00120,499,36,460,75,375,2026-04-04,In Stock
W007,Milan,P00121,688,31,668,20,100,2026-06-05,In Stock
W008,Sydney,P00122,434,16,413,50,250,2026-05-24,In Stock
W005,London,P00123,1138,33,1126,20,100,2026-06-18,In Stock
W004,Los Angeles,P00124,832,35,817,75,375,2026-04-01,In Stock
W008,Sydney,P00125,1005,1,1000,75,375,2026-05-22,In Stock
W004,Los Angeles,P00126,828,19,791,30,150,2026-05-12,In Stock
W008,Sydney,P00127,1133,22,1106,100,500,2026-03-25,In Stock
W006,Berlin,P00128,720,17,701,75,375,2026-05-27,In Stock
W004,Los Angeles,P00129,247,20,240,30,150,2026-03-25,In Stock
W003,Dallas,P00130,392,30,375,30,150,2026-03-28,In Stock
W005,London,P00131,205,18,191,30,150,2026-05-13,In Stock
W003,Dallas,P00132,619,34,611,20,100,2026-05-24,In Stock
W001,New York,P00133,111,18,103,100,500,2026-04-08,In Stock
W008,Sydney,P00134,210,36,192,20,100,2026-04-29,In Stock
W008,Sydney,P00135,902,11,899,50,250,2026-05-27,In Stock
W008,Sydney,P00136,233,25,202,20,100,2026-06-19,In Stock
W001,New York,P00137,310,36,291,30,150,2026-06-18,In Stock
W004,Los Angeles,P00138,242,26,204,100,500,2026-04-13,In Stock
W004,Los Angeles,P00139,1070,28,1042,75,375,2026-05-21,In Stock
W007,Milan,P00140,625,39,622,100,500,2026-04-11,In Stock
W002,Chicago,P00141,425,16,420,30,150,2026-06-08,In Stock
W004,Los Angeles,P00142,355,4,345,100,500,2026-06-28,In Stock
W007,Milan,P00143,922,30,904,100,500,2026-06-24,In Stock
W004,Los Angeles,P00144,590,29,586,50,250,2026-04-02,In Stock
W004,Los Angeles,P00145,541,12,514,100,500,2026-06-14,In Stock
W004,Los Angeles,P00146,305,9,301,50,250,2026-06-21,In Stock
W003,Dallas,P00147,629,36,611,100,500,2026-05-03,In Stock
W002,Chicago,P00148,959,25,942,50,250,2026-04-25,In Stock
W008,Sydney,P00149,896,38,894,20,100,2026-03-07,In Stock
W007,Milan,P00150,660,16,659,100,500,2026-06-17,In Stock
W004,Los Angeles,P00151,1178,1,1161,100,500,2026-04-16,In Stock
W001,New York,P00152,358,33,330,75,375,2026-03-03,In Stock
W005,London,P00153,371,27,331,100,500,2026-03-16,In Stock
W008,Sydney,P00154,186,22,160,75,375,2026-05-17,In Stock
W006,Berlin,P00155,214,21,188,30,150,2026-04-01,In Stock
W008,Sydney,P00156,590,35,588,75,375,2026-05-01,In Stock
W002,Chicago,P00157,644,20,637,50,250,2026-03-22,In Stock
W007,Milan,P00158,1053,34,1024,20,100,2026-05-07,In Stock
W001,New York,P00159,384,23,345,100,500,2026-03-24,In Stock
W008,Sydney,P00160,905,13,888,20,100,2026-04-19,In Stock
W003,Dallas,P00161,589,31,582,75,375,2026-06-25,In Stock
W004,Los Angeles,P00162,324,35,324,50,250,2026-04-19,In Stock
W007,Milan,P00163,190,7,161,30,150,2026-06-13,In Stock
W003,Dallas,P00164,1020,32,1003,50,250,2026-05-06,In Stock
W008,Sydney,P00165,967,29,932,30,150,2026-06-10,In Stock
W007,Milan,P00166,390,32,382,100,500,2026-03-10,In Stock
W002,Chicago,P00167,565,21,533,75,375,2026-05-25,In Stock
W001,New York,P00168,579,37,542,50,250,2026-04-05,In Stock
W008,Sydney,P00169,304,34,274,75,375,2026-05-15,In Stock
W006,Berlin,P00170,1130,24,1101,100,500,2026-03-01,In Stock
W006,Berlin,P00171,386,36,362,30,150,2026-05-30,In Stock
W007,Milan,P00172,89,30,65,50,250,2026-05-10,In Stock
W003,Dallas,P00173,1014,8,982,20,100,2026-04-14,In Stock
W006,Berlin,P00174,205,6,172,75,375,2026-03-04,In Stock
W008,Sydney,P00175,31,26,22,30,150,2026-06-19,In Stock
W008,Sydney,P00176,542,39,517,50,250,2026-04-06,In Stock
W002,Chicago,P00177,672,24,652,100,500,2026-04-09,In Stock
W008,Sydney,P00178,1108,39,1104,20,100,2026-05-29,In Stock
W005,London,P00179,465,27,459,20,100,2026-03-23,In Stock
W002,Chicago,P00180,908,19,907,30,150,2026-06-23,In Stock
W006,Berlin,P00181,114,22,91,50,250,2026-05-04,In Stock
W003,Dallas,P00182,500,26,464,100,500,2026-04-02,In Stock
W003,Dallas,P00183,348,5,309,30,150,2026-03-09,In Stock
W007,Milan,P00184,493,37,484,75,375,2026-05-30,In Stock
W008,Sydney,P00185,520,16,520,75,375,2026-03-05,In Stock
W008,Sydney,P00186,589,10,585,100,500,2026-05-03,In Stock
W006,Berlin,P00187,612,16,583,75,375,2026-03-12,In Stock
W005,London,P00188,407,30,401,75,375,2026-05-29,In Stock
W007,Milan,P00189,1171,36,1153,50,250,2026-03-31,In Stock
W005,London,P00190,44,17,44,75,375,2026-04-17,Low Stock
W001,New York,P00191,1017,14,979,50,250,2026-03-18,In Stock
W006,Berlin,P00192,448,39,432,30,150,2026-04-03,In Stock
W003,Dallas,P00193,198,19,170,20,100,2026-06-24,In Stock
W006,Berlin,P00194,269,18,249,20,100,2026-03-25,In Stock
W007,Milan,P00195,359,8,325,30,150,2026-03-08,In Stock
W006,Berlin,P00196,1087,17,1077,100,500,2026-05-27,In Stock
W008,Sydney,P00197,604,7,575,50,250,2026-06-19,In Stock
W003,Dallas,P00198,462,35,439,75,375,2026-06-17,In Stock
W007,Milan,P00199,28,17,21,50,250,2026-05-01,Low Stock
W006,Berlin,P00200,536,24,496,100,500,2026-02-28,In Stock
W006,Berlin,P00201,221,30,220,30,150,2026-04-10,In Stock
W006,Berlin,P00202,453,40,424,20,100,2026-03-04,In Stock
W005,London,P00203,836,8,834,20,100,2026-06-24,In Stock
W005,London,P00204,1008,6,993,20,100,2026-03-07,In Stock
W003,Dallas,P00205,795,23,761,75,375,2026-05-06,In Stock
W003,Dallas,P00206,849,31,810,20,100,2026-05-07,In Stock
W005,London,P00207,67,13,39,50,250,2026-05-03,In Stock
W004,Los Angeles,P00208,742,23,708,20,100,2026-03-05,In Stock
W006,Berlin,P00209,124,17,112,75,375,2026-06-13,In Stock
W008,Sydney,P00210,187,40,149,30,150,2026-06-26,In Stock
W001,New York,P00211,683,8,647,30,150,2026-06-02,In Stock
W002,Chicago,P00212,1135,37,1122,30,150,2026-03-16,In Stock
W004,Los Angeles,P00213,672,38,672,30,150,2026-05-24,In Stock
W003,Dallas,P00214,266,16,255,100,500,2026-06-14,In Stock
W001,New York,P00215,269,22,254,20,100,2026-04-14,In Stock
W006,Berlin,P00216,32,16,29,30,150,2026-06-12,In Stock
W007,Milan,P00217,1077,4,1047,20,100,2026-05-02,In Stock
W006,Berlin,P00218,1051,6,1023,100,500,2026-04-25,In Stock
W004,Los Angeles,P00219,88,19,59,100,500,2026-04-07,Low Stock
W001,New York,P00220,124,25,97,75,375,2026-04-02,In Stock
W002,Chicago,P00221,1004,4,999,75,375,2026-05-18,In Stock
W003,Dallas,P00222,134,17,95,30,150,2026-04-08,In Stock
W006,Berlin,P00223,780,33,762,100,500,2026-05-01,In Stock
W007,Milan,P00224,203,35,190,20,100,2026-05-04,In Stock
W008,Sydney,P00225,467,21,438,75,375,2026-05-08,In Stock
W007,Milan,P00226,194,27,174,50,250,2026-04-04,In Stock
W005,London,P00227,766,30,762,30,150,2026-06-17,In Stock
W002,Chicago,P00228,190,6,167,75,375,2026-03-17,In Stock
W003,Dallas,P00229,1139,37,1104,20,100,2026-04-18,In Stock
W006,Berlin,P00230,250,22,223,75,375,2026-03-09,In Stock
W001,New York,P00231,589,19,567,100,500,2026-06-15,In Stock
W004,Los Angeles,P00232,316,14,310,75,375,2026-05-15,In Stock
W006,Berlin,P00233,235,36,221,50,250,2026-03-17,In Stock
W007,Milan,P00234,1148,39,1113,100,500,2026-06-25,In Stock
W005,London,P00235,59,17,40,30,150,2026-03-03,In Stock
W006,Berlin,P00236,718,11,709,20,100,2026-04-17,In Stock
W007,Milan,P00237,142,40,141,30,150,2026-06-17,In Stock
W004,Los Angeles,P00238,770,29,749,75,375,2026-06-08,In Stock
W006,Berlin,P00239,638,36,600,50,250,2026-06-18,In Stock
W001,New York,P00240,318,39,315,30,150,2026-04-03,In Stock
W002,Chicago,P00241,557,27,526,75,375,2026-04-12,In Stock
W008,Sydney,P00242,848,13,816,50,250,2026-06-14,In Stock
W006,Berlin,P00243,880,18,843,20,100,2026-04-27,In Stock
W005,London,P00244,93,25,55,30,150,2026-06-21,In Stock
W001,New York,P00245,418,13,410,50,250,2026-03-23,In Stock
W005,London,P00246,592,7,592,50,250,2026-04-26,In Stock
W007,Milan,P00247,359,24,325,30,150,2026-03-30,In Stock
W004,Los Angeles,P00248,1024,22,1020,100,500,2026-05-09,In Stock
W001,New York,P00249,893,29,889,20,100,2026-03-10,In Stock
W006,Berlin,P00250,1179,36,1154,75,375,2026-03-30,In Stock
W007,Milan,P00251,592,25,591,20,100,2026-05-18,In Stock
W003,Dallas,P00252,942,5,915,50,250,2026-03-12,In Stock
W002,Chicago,P00253,498,37,473,75,375,2026-04-22,In Stock
W002,Chicago,P00254,810,21,796,50,250,2026-05-17,In Stock
W003,Dallas,P00255,156,40,149,100,500,2026-04-22,In Stock
W004,Los Angeles,P00256,715,9,700,50,250,2026-06-15,In Stock
W003,Dallas,P00257,524,11,486,30,150,2026-06-09,In Stock
W002,Chicago,P00258,362,29,326,75,375,2026-03-23,In Stock
W008,Sydney,P00259,1156,20,1116,100,500,2026-05-19,In Stock
W003,Dallas,P00260,900,30,872,20,100,2026-04-09,In Stock
W005,London,P00261,562,3,540,100,500,2026-04-25,In Stock
W002,Chicago,P00262,635,28,633,75,375,2026-06-21,In Stock
W006,Berlin,P00263,587,5,548,20,100,2026-04-13,In Stock
W007,Milan,P00264,947,35,945,100,500,2026-05-02,In Stock
W004,Los Angeles,P00265,658,30,626,100,500,2026-06-09,In Stock
W001,New York,P00266,922,21,917,20,100,2026-04-25,In Stock
W003,Dallas,P00267,80,28,52,30,150,2026-04-22,In Stock
W003,Dallas,P00268,745,18,721,50,250,2026-05-07,In Stock
W006,Berlin,P00269,107,4,86,50,250,2026-06-16,In Stock
W007,Milan,P00270,581,38,572,50,250,2026-05-17,In Stock
W002,Chicago,P00271,1193,22,1174,30,150,2026-04-06,In Stock
W007,Milan,P00272,264,5,245,100,500,2026-04-18,In Stock
W007,Milan,P00273,672,33,667,30,150,2026-04-07,In Stock
W007,Milan,P00274,1041,1,1018,50,250,2026-05-20,In Stock
W003,Dallas,P00275,438,31,426,50,250,2026-05-31,In Stock
W003,Dallas,P00276,317,18,311,20,100,2026-04-25,In Stock
W001,New York,P00277,689,8,651,100,500,2026-05-11,In Stock
W003,Dallas,P00278,332,39,322,30,150,2026-03-28,In Stock
W008,Sydney,P00279,89,23,74,75,375,2026-05-03,In Stock
W005,London,P00280,919,34,904,30,150,2026-05-20,In Stock
W008,Sydney,P00281,397,36,369,50,250,2026-04-30,In Stock
W005,London,P00282,782,33,756,100,500,2026-06-08,In Stock
W004,Los Angeles,P00283,283,3,253,50,250,2026-03-09,In Stock
W006,Berlin,P00284,1135,33,1128,20,100,2026-05-23,In Stock
W002,Chicago,P00285,328,28,296,50,250,2026-06-10,In Stock
W007,Milan,P00286,187,28,165,30,150,2026-03-01,In Stock
W001,New York,P00287,849,25,817,20,100,2026-05-12,In Stock
W004,Los Angeles,P00288,790,23,776,20,100,2026-06-25,In Stock
W006,Berlin,P00289,202,9,194,50,250,2026-06-24,In Stock
W005,London,P00290,967,30,939,30,150,2026-04-11,In Stock
W001,New York,P00291,162,16,149,20,100,2026-03-14,In Stock
W003,Dallas,P00292,1123,33,1096,100,500,2026-06-14,In Stock
W005,London,P00293,486,7,483,50,250,2026-05-29,In Stock
W007,Milan,P00294,936,7,905,20,100,2026-04-13,In Stock
W001,New York,P00295,1055,15,1046,100,500,2026-05-22,In Stock
W007,Milan,P00296,3,2,0,100,500,2026-04-16,Low Stock
W007,Milan,P00297,383,33,360,20,100,2026-06-20,In Stock
W001,New York,P00298,799,2,759,75,375,2026-05-10,In Stock
W006,Berlin,P00299,519,22,515,20,100,2026-05-15,In Stock
W004,Los Angeles,P00300,212,21,204,100,500,2026-06-23,In Stock
W006,Berlin,P00301,1118,11,1089,50,250,2026-03-31,In Stock
W008,Sydney,P00302,373,4,344,30,150,2026-06-24,In Stock
W005,London,P00303,412,12,410,20,100,2026-05-19,In Stock
W005,London,P00304,1055,34,1025,75,375,2026-05-27,In Stock
W001,New York,P00305,391,22,388,50,250,2026-03-10,In Stock
W006,Berlin,P00306,559,23,532,20,100,2026-03-07,In Stock
W007,Milan,P00307,900,21,889,75,375,2026-04-26,In Stock
W008,Sydney,P00308,752,17,747,100,500,2026-03-27,In Stock
W007,Milan,P00309,161,38,150,75,375,2026-04-20,In Stock
W005,London,P00310,657,5,637,20,100,2026-04-05,In Stock
W005,London,P00311,627,38,600,75,375,2026-06-07,In Stock
W008,Sydney,P00312,719,2,697,75,375,2026-04-11,In Stock
W007,Milan,P00313,562,4,522,20,100,2026-05-08,In Stock
W006,Berlin,P00314,1050,1,1041,30,150,2026-03-12,In Stock
W008,Sydney,P00315,71,4,56,30,150,2026-03-21,In Stock
W006,Berlin,P00316,741,36,739,75,375,2026-04-12,In Stock
W003,Dallas,P00317,921,23,893,50,250,2026-03-23,In Stock
W002,Chicago,P00318,1175,33,1152,30,150,2026-05-09,In Stock
W006,Berlin,P00319,570,7,569,30,150,2026-03-26,In Stock
W003,Dallas,P00320,1022,24,987,100,500,2026-06-13,In Stock
W005,London,P00321,533,13,494,75,375,2026-05-23,In Stock
W008,Sydney,P00322,409,8,405,20,100,2026-05-02,In Stock
W003,Dallas,P00323,911,20,889,20,100,2026-03-30,In Stock
W002,Chicago,P00324,1126,18,1107,100,500,2026-03-12,In Stock
W003,Dallas,P00325,356,32,342,50,250,2026-06-13,In Stock
W004,Los Angeles,P00326,284,31,283,30,150,2026-05-13,In Stock
W006,Berlin,P00327,957,8,918,100,500,2026-03-07,In Stock
W002,Chicago,P00328,134,25,104,50,250,2026-04-22,In Stock
W007,Milan,P00329,838,4,830,100,500,2026-05-19,In Stock
W002,Chicago,P00330,921,33,899,75,375,2026-06-12,In Stock
W003,Dallas,P00331,264,32,261,75,375,2026-03-14,In Stock
W002,Chicago,P00332,1061,19,1051,30,150,2026-06-08,In Stock
W006,Berlin,P00333,461,33,443,50,250,2026-03-12,In Stock
W002,Chicago,P00334,513,40,478,30,150,2026-05-24,In Stock
W003,Dallas,P00335,620,34,615,100,500,2026-04-25,In Stock
W003,Dallas,P00336,1189,10,1150,30,150,2026-03-28,In Stock
W006,Berlin,P00337,1154,1,1149,20,100,2026-06-23,In Stock
W005,London,P00338,431,26,392,100,500,2026-04-08,In Stock
W001,New York,P00339,1019,18,1000,100,500,2026-04-28,In Stock
W004,Los Angeles,P00340,831,29,827,50,250,2026-04-01,In Stock
W001,New York,P00341,323,26,293,75,375,2026-04-30,In Stock
W004,Los Angeles,P00342,696,9,676,100,500,2026-03-10,In Stock
W006,Berlin,P00343,707,8,684,75,375,2026-04-24,In Stock
W002,Chicago,P00344,653,29,646,30,150,2026-05-25,In Stock
W008,Sydney,P00345,507,6,504,30,150,2026-05-22,In Stock
W007,Milan,P00346,856,10,836,30,150,2026-03-01,In Stock
W006,Berlin,P00347,388,31,356,30,150,2026-04-30,In Stock
W008,Sydney,P00348,631,1,626,75,375,2026-02-28,In Stock
W007,Milan,P00349,1035,15,1022,75,375,2026-04-15,In Stock
W006,Berlin,P00350,99,18,68,20,100,2026-04-13,In Stock
W008,Sydney,P00351,585,0,579,100,500,2026-05-04,In Stock
W003,Dallas,P00352,541,25,518,50,250,2026-06-23,In Stock
W007,Milan,P00353,104,35,92,100,500,2026-05-13,In Stock
W005,London,P00354,150,32,122,75,375,2026-03-23,In Stock
W005,London,P00355,243,6,218,30,150,2026-05-12,In Stock
W006,Berlin,P00356,1142,9,1130,50,250,2026-04-12,In Stock
W007,Milan,P00357,1024,2,1022,20,100,2026-06-11,In Stock
W006,Berlin,P00358,970,29,961,100,500,2026-04-12,In Stock
W003,Dallas,P00359,671,20,661,100,500,2026-05-09,In Stock
W005,London,P00360,688,32,654,100,500,2026-04-27,In Stock
W005,London,P00361,972,23,951,20,100,2026-04-03,In Stock
W002,Chicago,P00362,853,19,813,100,500,2026-06-25,In Stock
W008,Sydney,P00363,543,36,529,100,500,2026-03-28,In Stock
W001,New York,P00364,1195,10,1162,75,375,2026-04-09,In Stock
W007,Milan,P00365,302,2,266,30,150,2026-03-31,In Stock
W002,Chicago,P00366,390,28,370,20,100,2026-05-06,In Stock
W003,Dallas,P00367,845,26,813,30,150,2026-03-21,In Stock
W008,Sydney,P00368,127,33,114,30,150,2026-04-18,In Stock
W006,Berlin,P00369,979,24,959,100,500,2026-06-06,In Stock
W008,Sydney,P00370,1091,34,1069,50,250,2026-04-03,In Stock
W005,London,P00371,991,15,974,30,150,2026-04-18,In Stock
W005,London,P00372,460,18,447,50,250,2026-04-01,In Stock
W008,Sydney,P00373,649,22,614,75,375,2026-03-01,In Stock
W005,London,P00374,589,36,555,20,100,2026-05-11,In Stock
W007,Milan,P00375,706,18,704,30,150,2026-05-23,In Stock
W002,Chicago,P00376,709,16,679,75,375,2026-06-01,In Stock
W004,Los Angeles,P00377,1103,35,1086,50,250,2026-06-11,In Stock
W002,Chicago,P00378,490,3,457,30,150,2026-05-31,In Stock
W004,Los Angeles,P00379,107,26,86,20,100,2026-03-29,In Stock
W008,Sydney,P00380,205,0,170,30,150,2026-03-02,In Stock
W003,Dallas,P00381,833,30,821,75,375,2026-03-24,In Stock
W005,London,P00382,657,3,652,50,250,2026-04-06,In Stock
W004,Los Angeles,P00383,1095,11,1069,20,100,2026-03-08,In Stock
W003,Dallas,P00384,74,31,63,75,375,2026-03-01,Low Stock
W005,London,P00385,76,19,40,20,100,2026-04-12,In Stock
W002,Chicago,P00386,686,29,652,50,250,2026-04-22,In Stock
W008,Sydney,P00387,274,29,257,100,500,2026-06-04,In Stock
W002,Chicago,P00388,677,29,661,30,150,2026-03-29,In Stock
W003,Dallas,P00389,28,25,10,50,250,2026-04-17,Low Stock
W004,Los Angeles,P00390,359,40,334,100,500,2026-03-15,In Stock
W007,Milan,P00391,1055,5,1030,50,250,2026-04-04,In Stock
W002,Chicago,P00392,378,30,358,30,150,2026-03-01,In Stock
W004,Los Angeles,P00393,13,6,0,50,250,2026-05-02,Low Stock
W005,London,P00394,675,37,639,50,250,2026-06-27,In Stock
W005,London,P00395,736,3,729,30,150,2026-04-30,In Stock
W005,London,P00396,327,32,308,75,375,2026-04-01,In Stock
W002,Chicago,P00397,604,39,590,50,250,2026-05-31,In Stock
W003,Dallas,P00398,979,29,941,30,150,2026-05-12,In Stock
W007,Milan,P00399,1124,34,1111,75,375,2026-03-23,In Stock
W004,Los Angeles,P00400,167,28,134,100,500,2026-03-30,In Stock
W006,Berlin,P00401,159,7,156,100,500,2026-03-14,In Stock
W004,Los Angeles,P00402,1172,9,1162,100,500,2026-05-18,In Stock
W008,Sydney,P00403,238,37,207,30,150,2026-06-17,In Stock
W008,Sydney,P00404,113,8,81,75,375,2026-05-06,In Stock
W008,Sydney,P00405,1154,35,1125,20,100,2026-04-03,In Stock
W005,London,P00406,44,16,44,75,375,2026-03-25,Low Stock
W004,Los Angeles,P00407,1184,2,1157,20,100,2026-05-15,In Stock
W002,Chicago,P00408,1108,4,1078,20,100,2026-06-24,In Stock
