ProductID,SKU,ProductName,Category,SubCategory,Brand,SupplierID,UnitPrice,Cost,Status
P00023,SKU-00023,Adidas Accessorie 23,Electronics,Accessories,Adidas,S0404,1521.73,508.95,Active
P00024,SKU-00024,HP Accessorie 24,Electronics,Accessories,HP,S0475,1771.47,1064.66,Active
P00025,SKU-00025,Samsung Laptop 25,Electronics,Laptops,Samsung,S0118,1020.95,409.15,Active
P00026,SKU-00026,Adidas Laptop 26,Electronics,Laptops,Adidas,S0209,1126.09,899.75,Active
P00027,SKU-00027,Nike Accessorie 27,Electronics,Accessories,Nike,S0485,833.47,423.29,Active
P00028,SKU-00028,HP Laptop 28,Electronics,Laptops,HP,S0307,946.39,510.9,Active
P00029,SKU-00029,LG Accessorie 29,Electronics,Accessories,LG,S0274,307.36,758.4,Active
P00030,SKU-00030,Loreal Laptop 30,Electronics,Laptops,Loreal,S0253,966.01,182.02,Active
P00031,SKU-00031,Philips Smartphone 31,Electronics,Smartphones,Philips,S0425,1408.82,846.79,Active
P00032,SKU-00032,Loreal Accessorie 32,Electronics,Accessories,Loreal,S0338,1769.73,636.29,Active
P00033,SKU-00033,Adidas Accessorie 33,Electronics,Accessories,Adidas,S0044,1488.67,423.86,Active
P00034,SKU-00034,Sony Accessorie 34,Electronics,Accessories,Sony,S0012,252.1,523.8,Active
P00035,SKU-00035,Loreal Accessorie 35,Electronics,Accessories,Loreal,S0022,700.53,142.27,Active
P00036,SKU-00036,Philips Laptop 36,Electronics,Laptops,Philips,S0026,729.9,122.09,Active
P00037,SKU-00037,Adidas Accessorie 37,Electronics,Accessories,Adidas,S0049,1362.49,414.08,Active
P00038,SKU-00038,Nike Laptop 38,Electronics,Laptops,Nike,S0311,1855.2,410.26,Active
P00039,SKU-00039,Philips Accessorie 39,Electronics,Accessories,Philips,S0244,1133.24,805.96,Active
P00040,SKU-00040,Dell Accessorie 40,Electronics,Accessories,Dell,S0282,274.92,902.14,Active
P00041,SKU-00041,Dell Laptop 41,Electronics,Laptops,Dell,S0280,49.77,810.56,Active
P00042,SKU-00042,Samsung Accessorie 42,Electronics,Accessories,Samsung,S0382,753.22,983.36,Active
P00043,SKU-00043,Loreal Accessorie 43,Electronics,Accessories,Loreal,S0016,1241.9,671.0,Active
P00044,SKU-00044,Adidas Smartphone 44,Electronics,Smartphones,Adidas,S0248,1684.76,1273.1,Active
P00045,SKU-00045,Nike Smartphone 45,Electronics,Smartphones,Nike,S0435,1592.28,1250.53,Active
P00046,SKU-00046,Dell Smartphone 46,Electronics,Smartphones,Dell,S0152,1337.09,1200.08,Active
P00047,SKU-00047,Nike Accessorie 47,Electronics,Accessories,Nike,S0195,1496.51,1413.73,Active
P00048,SKU-00048,Sony Accessorie 48,Electronics,Accessories,Sony,S0142,1867.72,615.6,Active
P00049,SKU-00049,Apple Smartphone 49,Electronics,Smartphones,Apple,S0416,93.71,171.13,Active
P00050,SKU-00050,Dell Accessorie 50,Electronics,Accessories,Dell,S0401,1967.41,1363.95,Active
P00051,SKU-00051,Loreal Smartphone 51,Electronics,Smartphones,Loreal,S0123,220.03,1428.19,Active
P00052,SKU-00052,HP Accessorie 52,Electronics,Accessories,HP,S0217,1760.73,522.65,Active
P00053,SKU-00053,HP Laptop 53,Electronics,Laptops,HP,S0151,1510.27,515.15,Active
P00054,SKU-00054,Apple Smartphone 54,Electronics,Smartphones,Apple,S0175,1349.34,1337.62,Active
P00055,SKU-00055,HP Laptop 55,Electronics,Laptops,HP,S0388,1423.75,1462.92,Active
P00056,SKU-00056,Nike Laptop 56,Electronics,Laptops,Nike,S0204,1436.02,154.05,Active
P00057,SKU-00057,Adidas Accessorie 57,Electronics,Accessories,Adidas,S0402,1356.83,1115.76,Active
P00058,SKU-00058,Adidas Accessorie 58,Electronics,Accessories,Adidas,S0222,886.8,815.33,Active
P00059,SKU-00059,Apple Smartphone 59,Electronics,Smartphones,Apple,S0193,835.09,1199.52,Active
P00060,SKU-00060,Philips Laptop 60,Electronics,Laptops,Philips,S0409,1631.74,1377.35,Active
P00061,SKU-00061,Apple Laptop 61,Electronics,Laptops,Apple,S0238,799.13,952.53,Active
P00062,SKU-00062,Philips Smartphone 62,Electronics,Smartphones,Philips,S0412,506.45,637.34,Active
P00063,SKU-00063,Adidas Accessorie 63,Electronics,Accessories,Adidas,S0039,1552.29,1403.47,Active
P00064,SKU-00064,Philips Smartphone 64,Electronics,Smartphones,Philips,S0112,860.58,1192.63,Active
P00065,SKU-00065,Philips Accessorie 65,Electronics,Accessories,Philips,S0040,503.35,1170.32,Active
P00066,SKU-00066,Samsung Laptop 66,Electronics,Laptops,Samsung,S0287,198.24,1223.43,Active
P00067,SKU-00067,Apple Smartphone 67,Electronics,Smartphones,Apple,S0490,1719.97,702.31,Active
P00068,SKU-00068,HP Accessorie 68,Electronics,Accessories,HP,S0395,1074.03,675.78,Active
P00069,SKU-00069,Sony Laptop 69,Electronics,Laptops,Sony,S0414,409.43,1226.29,Active
P00070,SKU-00070,Dell Accessorie 70,Electronics,Accessories,Dell,S0433,358.56,1082.83,Active
P00071,SKU-00071,Dell Smartphone 71,Electronics,Smartphones,Dell,S0131,512.03,579.47,Active
P00072,SKU-00072,Adidas Laptop 72,Electronics,Laptops,Adidas,S0101,150.21,871.12,Active
P00073,SKU-00073,Loreal Smartphone 73,Electronics,Smartphones,Loreal,S0072,1112.29,590.02,Active
P00074,SKU-00074,Apple Smartphone 74,Electronics,Smartphones,Apple,S0016,1495.23,577.03,Active
P00075,SKU-00075,Philips Accessorie 75,Electronics,Accessories,Philips,S0280,157.59,365.62,Active
P00076,SKU-00076,Sony Accessorie 76,Electronics,Accessories,Sony,S0183,1500.63,271.56,Active
P00077,SKU-00077,Philips Laptop 77,Electronics,Laptops,Philips,S0150,186.28,1241.89,Active
P00078,SKU-00078,Loreal Laptop 78,Electronics,Laptops,Loreal,S0304,215.05,562.09,Active
P00079,SKU-00079,HP Smartphone 79,Electronics,Smartphones,HP,S0082,1626.42,1435.18,Active
P00080,SKU-00080,Loreal Accessorie 80,Electronics,Accessories,Loreal,S0126,1491.89,758.83,Active
P00081,SKU-00081,Sony Smartphone 81,Electronics,Smartphones,Sony,S0339,1847.15,205.26,Active
P00082,SKU-00082,Adidas Smartphone 82,Electronics,Smartphones,Adidas,S0391,1129.8,996.26,Active
P00083,SKU-00083,Philips Smartphone 83,Electronics,Smartphones,Philips,S0258,473.9,618.61,Active
P00084,SKU-00084,Dell Laptop 84,Electronics,Laptops,Dell,S0253,204.49,1247.39,Active
P00085,SKU-00085,Apple Laptop 85,Electronics,Laptops,Apple,S0251,436.53,1235.23,Active
P00086,SKU-00086,Apple Smartphone 86,Electronics,Smartphones,Apple,S0434,851.11,665.45,Active
P00087,SKU-00087,Sony Accessorie 87,Electronics,Accessories,Sony,S0268,727.49,352.91,Active
P00088,SKU-00088,Apple Laptop 88,Electronics,Laptops,Apple,S0428,1225.11,1337.46,Active
P00089,SKU-00089,Samsung Accessorie 89,Electronics,Accessories,Samsung,S0444,1672.64,597.47,Active
P00090,SKU-00090,Dell Accessorie 90,Electronics,Accessories,Dell,S0202,543.16,531.53,Active
P00091,SKU-00091,Sony Smartphone 91,Electronics,Smartphones,Sony,S0156,1181.48,479.38,Active
P00092,SKU-00092,Samsung Laptop 92,Electronics,Laptops,Samsung,S0443,1218.23,1187.35,Active
P00093,SKU-00093,Loreal Smartphone 93,Electronics,Smartphones,Loreal,S0298,235.88,862.85,Active
P00094,SKU-00094,HP Laptop 94,Electronics,Laptops,HP,S0385,1106.26,958.01,Active
P00095,SKU-00095,Philips Smartphone 95,Electronics,Smartphones,Philips,S0229,675.62,1379.06,Active
P00096,SKU-00096,Adidas Laptop 96,Electronics,Laptops,Adidas,S0075,1793.06,226.58,Active
P00097,SKU-00097,HP Laptop 97,Electronics,Laptops,HP,S0175,1705.22,915.21,Active
P00098,SKU-00098,Dell Smartphone 98,Electronics,Smartphones,Dell,S0387,1938.75,827.83,Active
P00099,SKU-00099,Sony Laptop 99,Electronics,Laptops,Sony,S0043,261.29,828.5,Active
P00100,SKU-00100,LG Laptop 100,Electronics,Laptops,LG,S0025,1477.72,455.48,Active
P00101,SKU-00101,HP Accessorie 101,Electronics,Accessories,HP,S0174,1852.31,1289.78,Active
P00102,SKU-00102,Apple Accessorie 102,Electronics,Accessories,Apple,S0015,1978.67,629.16,Active
P00103,SKU-00103,Loreal Accessorie 103,Electronics,Accessories,Loreal,S0360,1330.58,1310.01,Active
P00104,SKU-00104,Samsung Smartphone 104,Electronics,Smartphones,Samsung,S0301,268.79,882.15,Active
P00105,SKU-00105,Apple Smartphone 105,Electronics,Smartphones,Apple,S0185,1925.14,505.71,Active
P00106,SKU-00106,Apple Smartphone 106,Electronics,Smartphones,Apple,S0251,74.21,383.7,Active
P00107,SKU-00107,Nike Accessorie 107,Electronics,Accessories,Nike,S0018,1892.24,304.38,Active
P00108,SKU-00108,HP Accessorie 108,Electronics,Accessories,HP,S0167,790.04,981.88,Active
P00109,SKU-00109,Loreal Accessorie 109,Electronics,Accessories,Loreal,S0153,1911.28,873.98,Active
P00110,SKU-00110,Samsung Smartphone 110,Electronics,Smartphones,Samsung,S0338,1255.0,998.49,Active
P00111,SKU-00111,HP Laptop 111,Electronics,Laptops,HP,S0038,1297.39,296.96,Active
P00112,SKU-00112,Philips Accessorie 112,Electronics,Accessories,Philips,S0482,1007.18,719.02,Active
P00113,SKU-00113,Philips Laptop 113,Electronics,Laptops,Philips,S0155,1131.26,1209.53,Active
P00114,SKU-00114,Apple Accessorie 114,Electronics,Accessories,Apple,S0401,920.58,1338.4,Active
P00115,SKU-00115,LG Accessorie 115,Electronics,Accessories,LG,S0474,677.83,1482.81,Active
P00116,SKU-00116,Samsung Smartphone 116,Electronics,Smartphones,Samsung,S0183,1744.35,1373.69,Active
P00117,SKU-00117,Dell Smartphone 117,Electronics,Smartphones,Dell,S0194,39.77,510.55,Active
P00118,SKU-00118,Samsung Laptop 118,Electronics,Laptops,Samsung,S0344,1978.21,969.93,Active
P00119,SKU-00119,Loreal Laptop 119,Electronics,Laptops,Loreal,S0175,472.82,1443.77,Active
P00120,SKU-00120,Loreal Accessorie 120,Electronics,Accessories,Loreal,S0329,737.92,444.16,Active
P00121,SKU-00121,Adidas Smartphone 121,Electronics,Smartphones,Adidas,S0209,1875.64,913.75,Active
P00122,SKU-00122,Sony Accessorie 122,Electronics,Accessories,Sony,S0195,428.2,232.21,Active
P00123,SKU-00123,Dell Smartphone 123,Electronics,Smartphones,Dell,S0228,1000.84,1014.5,Active
P00124,SKU-00124,HP Accessorie 124,Electronics,Accessories,HP,S0448,1604.37,737.09,Active
P00125,SKU-00125,Dell Accessorie 125,Electronics,Accessories,Dell,S0220,32.47,469.53,Active
P00126,SKU-00126,Adidas Accessorie 126,Electronics,Accessories,Adidas,S0446,1215.2,966.79,Active
P00127,SKU-00127,Samsung Smartphone 127,Electronics,Smartphones,Samsung,S0306,1035.31,769.44,Active
P00128,SKU-00128,Adidas Smartphone 128,Electronics,Smartphones,Adidas,S0002,1348.15,637.3,Active
P00129,SKU-00129,Philips Smartphone 129,Electronics,Smartphones,Philips,S0174,672.1,33.01,Active
P00130,SKU-00130,Dell Smartphone 130,Electronics,Smartphones,Dell,S0152,1167.6,784.67,Active
P00131,SKU-00131,Adidas Smartphone 131,Electronics,Smartphones,Adidas,S0497,1115.11,681.69,Active
P00132,SKU-00132,Loreal Smartphone 132,Electronics,Smartphones,Loreal,S0095,1016.17,145.05,Active
P00133,SKU-00133,Samsung Laptop 133,Electronics,Laptops,Samsung,S0031,1591.77,1317.69,Active
P00134,SKU-00134,Adidas Smartphone 134,Electronics,Smartphones,Adidas,S0023,1497.75,1442.87,Active
P00135,SKU-00135,Adidas Smartphone 135,Electronics,Smartphones,Adidas,S0341,378.37,90.89,Active
P00136,SKU-00136,Adidas Smartphone 136,Electronics,Smartphones,Adidas,S0481,579.36,381.93,Active
P00137,SKU-00137,Dell Smartphone 137,Electronics,Smartphones,Dell,S0392,397.65,528.14,Active
P00138,SKU-00138,Sony Accessorie 138,Electronics,Accessories,Sony,S0443,1361.03,138.62,Active
P00139,SKU-00139,Nike Laptop 139,Electronics,Laptops,Nike,S0310,1301.77,363.38,Active
P00140,SKU-00140,HP Laptop 140,Electronics,Laptops,HP,S0387,1664.87,616.84,Active
P00141,SKU-00141,Philips Laptop 141,Electronics,Laptops,Philips,S0009,746.87,457.13,Active
P00142,SKU-00142,Nike Accessorie 142,Electronics,Accessories,Nike,S0086,920.79,942.82,Active
P00143,SKU-00143,Adidas Laptop 143,Electronics,Laptops,Adidas,S0183,1293.66,261.46,Active
P00144,SKU-00144,Philips Smartphone 144,Electronics,Smartphones,Philips,S0181,1773.83,1374.98,Active
P00145,SKU-00145,Nike Accessorie 145,Electronics,Accessories,Nike,S0246,1073.87,1477.77,Active
P00146,SKU-00146,Philips Laptop 146,Electronics,Laptops,Philips,S0479,1741.93,1287.7,Active
P00147,SKU-00147,Sony Smartphone 147,Electronics,Smartphones,Sony,S0017,1954.35,1328.45,Active
P00148,SKU-00148,Loreal Laptop 148,Electronics,Laptops,Loreal,S0207,496.24,1159.8,Active
P00149,SKU-00149,Apple Accessorie 149,Electronics,Accessories,Apple,S0101,203.32,207.5,Active
P00150,SKU-00150,Nike Smartphone 150,Electronics,Smartphones,Nike,S0117,160.04,862.24,Active
P00151,SKU-00151,Philips Accessorie 151,Electronics,Accessories,Philips,S0244,373.93,1296.93,Active
P00152,SKU-00152,Adidas Laptop 152,Electronics,Laptops,Adidas,S0118,1528.36,204.71,Active
P00153,SKU-00153,Nike Laptop 153,Electronics,Laptops,Nike,S0026,1568.86,128.28,Active
P00154,SKU-00154,LG Smartphone 154,Electronics,Smartphones,LG,S0330,1315.42,904.41,Active
P00155,SKU-00155,Apple Accessorie 155,Electronics,Accessories,Apple,S0112,639.02,723.14,Active
P00156,SKU-00156,Philips Laptop 156,Electronics,Laptops,Philips,S0179,279.67,107.12,Active
P00157,SKU-00157,Dell Accessorie 157,Electronics,Accessories,Dell,S0310,642.32,1176.64,Active
P00158,SKU-00158,Dell Smartphone 158,Electronics,Smartphones,Dell,S0033,1982.55,970.48,Active
P00159,SKU-00159,Adidas Laptop 159,Electronics,Laptops,Adidas,S0161,532.37,1227.11,Active
P00160,SKU-00160,Dell Smartphone 160,Electronics,Smartphones,Dell,S0084,1271.07,77.66,Active
P00161,SKU-00161,Dell Smartphone 161,Electronics,Smartphones,Dell,S0183,1538.61,1079.9,Active
P00162,SKU-00162,Nike Laptop 162,Electronics,Laptops,Nike,S0166,294.2,146.43,Active
P00163,SKU-00163,Adidas Accessorie 163,Electronics,Accessories,Adidas,S0203,1964.78,229.32,Active
P00164,SKU-00164,Adidas Smartphone 164,Electronics,Smartphones,Adidas,S0041,1484.83,62.6,Active
P00165,SKU-00165,Philips Laptop 165,Electronics,Laptops,Philips,S0408,349.17,1063.81,Active
P00166,SKU-00166,Philips Accessorie 166,Electronics,Accessories,Philips,S0426,1486.78,252.27,Active
P00167,SKU-00167,HP Laptop 167,Electronics,Laptops,HP,S0225,482.61,969.09,Active
P00168,SKU-00168,Adidas Laptop 168,Electronics,Laptops,Adidas,S0083,277.96,1396.02,Active
P00169,SKU-00169,Nike Laptop 169,Electronics,Laptops,Nike,S0292,985.93,17.52,Active
P00170,SKU-00170,LG Smartphone 170,Electronics,Smartphones,LG,S0336,335.41,316.51,Active
P00171,SKU-00171,Dell Laptop 171,Electronics,Laptops,Dell,S0071,1982.92,498.27,Active
P00172,SKU-00172,Philips Accessorie 172,Electronics,Accessories,Philips,S0158,476.16,1061.36,Active
P00173,SKU-00173,Nike Laptop 173,Electronics,Laptops,Nike,S0267,1235.05,1432.98,Active
P00174,SKU-00174,Apple Accessorie 174,Electronics,Accessories,Apple,S0417,1962.82,183.0,Active
P00175,SKU-00175,Nike Accessorie 175,Electronics,Accessories,Nike,S0317,1776.02,676.86,Active
P00176,SKU-00176,Samsung Smartphone 176,Electronics,Smartphones,Samsung,S0370,223.56,809.67,Active
P00177,SKU-00177,LG Laptop 177,Electronics,Laptops,LG,S0268,1707.26,59.43,Active
P00178,SKU-00178,LG Laptop 178,Electronics,Laptops,LG,S0200,588.55,526.46,Active
P00179,SKU-00179,Apple Smartphone 179,Electronics,Smartphones,Apple,S0285,130.51,1009.25,Active
P00180,SKU-00180,HP Laptop 180,Electronics,Laptops,HP,S0456,1494.71,585.55,Active
P00181,SKU-00181,HP Laptop 181,Electronics,Laptops,HP,S0260,201.1,604.87,Active
P00182,SKU-00182,LG Accessorie 182,Electronics,Accessories,LG,S0259,306.42,223.2,Active
P00183,SKU-00183,LG Smartphone 183,Electronics,Smartphones,LG,S0333,1755.58,159.59,Active
P00184,SKU-00184,HP Smartphone 184,Electronics,Smartphones,HP,S0287,650.07,423.78,Active
P00185,SKU-00185,Dell Laptop 185,Electronics,Laptops,Dell,S0380,1427.62,967.12,Active
P00186,SKU-00186,Samsung Smartphone 186,Electronics,Smartphones,Samsung,S0251,367.64,234.23,Active
P00187,SKU-00187,HP Laptop 187,Electronics,Laptops,HP,S0422,993.59,1016.9,Active
P00188,SKU-00188,Loreal Accessorie 188,Electronics,Accessories,Loreal,S0410,930.56,729.23,Active
P00189,SKU-00189,Adidas Smartphone 189,Electronics,Smartphones,Adidas,S0275,408.32,893.76,Active
P00190,SKU-00190,Apple Accessorie 190,Electronics,Accessories,Apple,S0169,845.3,49.42,Active
P00191,SKU-00191,Sony Accessorie 191,Electronics,Accessories,Sony,S0108,1575.47,1281.02,Active
P00192,SKU-00192,Sony Laptop 192,Electronics,Laptops,Sony,S0343,1549.56,17.53,Active
P00193,SKU-00193,Adidas Smartphone 193,Electronics,Smartphones,Adidas,S0034,1647.52,483.78,Active
P00194,SKU-00194,Sony Smartphone 194,Electronics,Smartphones,Sony,S0003,1618.5,144.41,Active
P00195,SKU-00195,Nike Accessorie 195,Electronics,Accessories,Nike,S0386,687.28,566.51,Active
P00196,SKU-00196,Philips Accessorie 196,Electronics,Accessories,Philips,S0499,561.61,1407.04,Active
P00197,SKU-00197,Nike Smartphone 197,Electronics,Smartphones,Nike,S0062,889.63,785.56,Active
P00198,SKU-00198,HP Accessorie 198,Electronics,Accessories,HP,S0305,282.81,541.15,Active
P00199,SKU-00199,Loreal Laptop 199,Electronics,Laptops,Loreal,S0251,78.19,978.82,Active
P00200,SKU-00200,Adidas Smartphone 200,Electronics,Smartphones,Adidas,S0185,1420.55,423.67,Active
P00201,SKU-00201,Apple Laptop 201,Electronics,Laptops,Apple,S0271,928.95,299.53,Active
P00202,SKU-00202,Dell Accessorie 202,Electronics,Accessories,Dell,S0022,541.27,780.87,Active
P00203,SKU-00203,HP Laptop 203,Electronics,Laptops,HP,S0054,896.32,1395.99,Active
P00204,SKU-00204,HP Laptop 204,Electronics,Laptops,HP,S0332,704.3,1127.18,Active
P00205,SKU-00205,Adidas Smartphone 205,Electronics,Smartphones,Adidas,S0034,298.2,363.74,Active
P00206,SKU-00206,LG Accessorie 206,Electronics,Accessories,LG,S0291,199.79,262.61,Active
P00207,SKU-00207,Nike Laptop 207,Electronics,Laptops,Nike,S0441,479.03,1158.57,Active
P00208,SKU-00208,Apple Accessorie 208,Electronics,Accessories,Apple,S0260,914.4,1034.66,Active
P00209,SKU-00209,Adidas Smartphone 209,Electronics,Smartphones,Adidas,S0326,1282.68,657.95,Active
P00210,SKU-00210,Nike Smartphone 210,Electronics,Smartphones,Nike,S0148,59.26,958.63,Active
P00211,SKU-00211,Samsung Laptop 211,Electronics,Laptops,Samsung,S0241,1092.76,754.46,Active
P00212,SKU-00212,Sony Accessorie 212,Electronics,Accessories,Sony,S0330,1208.03,1427.51,Active
P00213,SKU-00213,LG Laptop 213,Electronics,Laptops,LG,S0427,1470.21,659.61,Active
P00214,SKU-00214,HP Accessorie 214,Electronics,Accessories,HP,S0054,201.39,163.04,Active
P00215,SKU-00215,Samsung Accessorie 215,Electronics,Accessories,Samsung,S0002,1029.62,1367.23,Active
P00216,SKU-00216,Apple Accessorie 216,Electronics,Accessories,Apple,S0294,863.75,450.86,Active
P00217,SKU-00217,Loreal Laptop 217,Electronics,Laptops,Loreal,S0245,881.39,406.58,Active
P00218,SKU-00218,Philips Laptop 218,Electronics,Laptops,Philips,S0029,545.08,264.85,Active
P00219,SKU-00219,Nike Accessorie 219,Electronics,Accessories,Nike,S0165,1024.83,989.74,Active
P00220,SKU-00220,Sony Accessorie 220,Electronics,Accessories,Sony,S0245,1506.5,334.92,Active
P00221,SKU-00221,Samsung Laptop 221,Electronics,Laptops,Samsung,S0424,725.62,1268.94,Active
P00222,SKU-00222,Nike Laptop 222,Electronics,Laptops,Nike,S0055,1008.66,211.26,Active
P00223,SKU-00223,Loreal Laptop 223,Electronics,Laptops,Loreal,S0467,658.22,560.08,Active
P00224,SKU-00224,Samsung Accessorie 224,Electronics,Accessories,Samsung,S0402,929.31,22.9,Active
P00225,SKU-00225,Apple Accessorie 225,Electronics,Accessories,Apple,S0290,808.87,151.33,Active
P00226,SKU-00226,Loreal Accessorie 226,Electronics,Accessories,Loreal,S0476,1775.89,141.81,Active
P00227,SKU-00227,Apple Accessorie 227,Electronics,Accessories,Apple,S0097,347.54,927.62,Active
P00228,SKU-00228,Adidas Laptop 228,Electronics,Laptops,Adidas,S0083,1071.29,345.76,Active
P00229,SKU-00229,Loreal Accessorie 229,Electronics,Accessories,Loreal,S0223,540.97,206.37,Active
P00230,SKU-00230,Apple Laptop 230,Electronics,Laptops,Apple,S0478,1983.4,650.64,Active
P00231,SKU-00231,Samsung Laptop 231,Electronics,Laptops,Samsung,S0095,437.42,1020.05,Active
P00232,SKU-00232,HP Laptop 232,Electronics,Laptops,HP,S0262,1822.57,1485.64,Active
P00233,SKU-00233,Samsung Laptop 233,Electronics,Laptops,Samsung,S0445,898.44,1222.17,Active
P00234,SKU-00234,Philips Accessorie 234,Electronics,Accessories,Philips,S0196,223.32,1028.65,Active
P00235,SKU-00235,Dell Accessorie 235,Electronics,Accessories,Dell,S0460,425.01,203.54,Active
P00236,SKU-00236,Philips Laptop 236,Electronics,Laptops,Philips,S0443,58.37,351.25,Active
P00237,SKU-00237,Loreal Accessorie 237,Electronics,Accessories,Loreal,S0224,409.8,504.26,Active
P00238,SKU-00238,Nike Smartphone 238,Electronics,Smartphones,Nike,S0255,723.39,966.55,Active
P00239,SKU-00239,Sony Smartphone 239,Electronics,Smartphones,Sony,S0485,1738.84,641.53,Active
P00240,SKU-00240,Samsung Laptop 240,Electronics,Laptops,Samsung,S0104,1200.45,720.78,Active
P00241,SKU-00241,Nike Laptop 241,Electronics,Laptops,Nike,S0288,1431.26,1174.24,Active
P00242,SKU-00242,HP Smartphone 242,Electronics,Smartphones,HP,S0233,537.19,146.61,Active
P00243,SKU-00243,Sony Accessorie 243,Electronics,Accessories,Sony,S0015,963.08,1079.57,Active
P00244,SKU-00244,Apple Accessorie 244,Electronics,Accessories,Apple,S0193,1608.44,618.76,Active
P00245,SKU-00245,Samsung Laptop 245,Electronics,Laptops,Samsung,S0151,1225.48,524.68,Active
P00246,SKU-00246,Dell Accessorie 246,Electronics,Accessories,Dell,S0182,622.69,808.49,Active
P00247,SKU-00247,HP Accessorie 247,Electronics,Accessories,HP,S0449,1057.2,494.36,Active
P00248,SKU-00248,Adidas Accessorie 248,Electronics,Accessories,Adidas,S0160,1913.67,462.52,Active
P00249,SKU-00249,LG Smartphone 249,Electronics,Smartphones,LG,S0130,1748.09,1178.45,Active
P00250,SKU-00250,Dell Smartphone 250,Electronics,Smartphones,Dell,S0205,413.13,251.66,Active
P00251,SKU-00251,Nike Smartphone 251,Electronics,Smartphones,Nike,S0020,896.98,604.08,Active
P00252,SKU-00252,Dell Smartphone 252,Electronics,Smartphones,Dell,S0262,1967.41,979.29,Active
P00253,SKU-00253,Samsung Smartphone 253,Electronics,Smartphones,Samsung,S0269,932.5,1242.89,Active
P00254,SKU-00254,Sony Laptop 254,Electronics,Laptops,Sony,S0277,228.32,28.21,Active
P00255,SKU-00255,Dell Laptop 255,Electronics,Laptops,Dell,S0136,1841.83,402.17,Active
P00256,SKU-00256,LG Accessorie 256,Electronics,Accessories,LG,S0022,420.51,476.93,Active
P00257,SKU-00257,Adidas Smartphone 257,Electronics,Smartphones,Adidas,S0016,397.41,1359.52,Active
P00258,SKU-00258,Philips Smartphone 258,Electronics,Smartphones,Philips,S0117,1663.01,263.43,Active
P00259,SKU-00259,Nike Smartphone 259,Electronics,Smartphones,Nike,S0165,1828.37,131.63,Active
P00260,SKU-00260,Dell Accessorie 260,Electronics,Accessories,Dell,S0181,525.29,816.47,Active
P00261,SKU-00261,Dell Laptop 261,Electronics,Laptops,Dell,S0046,368.09,721.54,Active
P00262,SKU-00262,Philips Smartphone 262,Electronics,Smartphones,Philips,S0014,1039.18,1270.11,Active
P00263,SKU-00263,Sony Smartphone 263,Electronics,Smartphones,Sony,S0373,1671.09,714.78,Active
P00264,SKU-00264,Philips Smartphone 264,Electronics,Smartphones,Philips,S0211,1096.39,818.73,Active
P00265,SKU-00265,Sony Accessorie 265,Electronics,Accessories,Sony,S0491,606.14,779.26,Active
P00266,SKU-00266,Philips Accessorie 266,Electronics,Accessories,Philips,S0455,333.15,136.46,Active
P00267,SKU-00267,Dell Laptop 267,Electronics,Laptops,Dell,S0008,310.43,152.9,Active
