OrderID,CustomerID,OrderDate,OrderStatus,PaymentMethod,ShippingMethod,Currency,OrderTotal,DiscountAmount,TaxAmount,ShippingCost
O00000034,C00003025,2025-05-17,Shipped,Credit Card,Standard,USD,8142.05,0,1628.41,0.0
O00000035,C00018380,2023-01-20,Delivered,PayPal,Pickup Point,USD,1714.66,0,342.93,4.99
O00000036,C00014084,2023-09-19,Delivered,Apple Pay,Standard,USD,4217.97,0,843.59,0.0
O00000037,C00020338,2023-11-13,Processing,PayPal,Standard,USD,4503.81,0,900.76,0.0
O00000038,C00025638,2025-04-23,Shipped,PayPal,Express,USD,4011.86,0,802.37,4.99
O00000039,C00028135,2025-08-21,Delivered,Google Pay,Express,USD,6830.68,0,1366.14,0.0
O00000040,C00009130,2023-05-23,Cancelled,Apple Pay,Express,USD,3453.31,0,690.66,0.0
O00000041,C00001254,2023-08-11,Delivered,Apple Pay,Pickup Point,USD,3903.48,0,780.7,14.99
O00000042,C00023226,2025-06-12,Delivered,Debit Card,Pickup Point,USD,2125.28,0,425.06,0.0
O00000043,C00020420,2024-10-04,Delivered,Credit Card,Pickup Point,USD,9255.69,0,1851.14,4.99
O00000044,C00022847,2024-08-28,Delivered,PayPal,Express,USD,6536.33,0,1307.27,4.99
O00000045,C00006888,2025-05-30,Delivered,Debit Card,Pickup Point,USD,3142.89,0,628.58,14.99
O00000046,C00026010,2023-12-14,Delivered,Apple Pay,Pickup Point,USD,5441.48,0,1088.3,9.99
O00000047,C00004829,2023-02-20,Delivered,Google Pay,Pickup Point,USD,1090.91,0,218.18,0.0
O00000048,C00029037,2024-02-03,Delivered,Google Pay,Express,USD,8618.78,0,1723.76,9.99
O00000049,C00026350,2025-11-26,Delivered,Debit Card,Standard,USD,3916.4,0,783.28,4.99
O00000050,C00026261,2025-08-09,Delivered,Debit Card,Pickup Point,USD,6610.79,0,1322.16,4.99
O00000051,C00014748,2024-06-14,Delivered,Apple Pay,Pickup Point,USD,6912.13,0,1382.43,14.99
O00000052,C00011006,2024-10-16,Processing,Credit Card,Standard,USD,5756.06,0,1151.21,9.99
O00000053,C00023148,2024-03-14,Delivered,Google Pay,Express,USD,7713.79,0,1542.76,4.99
O00000054,C00015630,2023-01-13,Processing,Apple Pay,Express,USD,8968.46,0,1793.69,0.0
O00000055,C00012743,2024-11-19,Delivered,Google Pay,Pickup Point,USD,5992.12,0,1198.42,0.0
O00000056,C00029719,2025-03-17,Delivered,Credit Card,Standard,USD,8579.24,0,1715.85,9.99
O00000057,C00014900,2024-10-31,Delivered,Google Pay,Express,USD,4572.81,0,914.56,9.99
O00000058,C00021304,2023-05-21,Delivered,Credit Card,Standard,USD,2332.5,0,466.5,9.99
O00000059,C00007817,2023-09-16,Delivered,Credit Card,Pickup Point,USD,2565.22,0,513.04,4.99
O00000060,C00019854,2023-08-23,Delivered,PayPal,Express,USD,1619.94,0,323.99,0.0
O00000061,C00010223,2025-02-07,Delivered,PayPal,Standard,USD,3507.91,0,701.58,4.99
O00000062,C00026091,2023-03-26,Delivered,Google Pay,Pickup Point,USD,2555.04,0,511.01,14.99
O00000063,C00014206,2025-01-11,Delivered,Google Pay,Pickup Point,USD,3601.9,0,720.38,4.99
O00000064,C00020183,2025-09-17,Delivered,Debit Card,Express,USD,3700.25,0,740.05,9.99
O00000065,C00018673,2025-02-15,Delivered,Google Pay,Express,USD,4428.04,0,885.61,0.0
O00000066,C00011153,2024-07-26,Processing,Apple Pay,Pickup Point,USD,2076.84,0,415.37,14.99
O00000067,C00002806,2024-05-09,Delivered,Google Pay,Pickup Point,USD,2965.92,0,593.18,9.99
O00000068,C00014686,2023-02-05,Delivered,PayPal,Express,USD,3344.44,0,668.89,14.99
O00000069,C00013943,2024-11-08,Delivered,Google Pay,Express,USD,4148.02,0,829.6,4.99
O00000070,C00024343,2024-01-15,Delivered,Google Pay,Express,USD,7488.7,0,1497.74,4.99
O00000071,C00009905,2023-01-29,Delivered,PayPal,Express,USD,1497.72,0,299.54,0.0
O00000072,C00022853,2023-09-16,Delivered,Google Pay,Standard,USD,1426.97,0,285.39,0.0
O00000073,C00015382,2025-09-07,Delivered,PayPal,Standard,USD,3875.05,0,775.01,0.0
O00000074,C00018908,2023-04-20,Delivered,Debit Card,Express,USD,830.65,0,166.13,0.0
O00000075,C00018287,2025-05-02,Delivered,Debit Card,Standard,USD,7701.85,0,1540.37,14.99
O00000076,C00024994,2024-03-01,Delivered,Apple Pay,Pickup Point,USD,1756.72,0,351.34,4.99
O00000077,C00005696,2023-06-03,Delivered,Google Pay,Express,USD,7458.61,0,1491.72,0.0
O00000078,C00002333,2024-04-23,Processing,Debit Card,Pickup Point,USD,4888.73,0,977.75,0.0
O00000079,C00021222,2023-11-02,Processing,PayPal,Standard,USD,1043.56,0,208.71,0.0
O00000080,C00019499,2024-08-14,Delivered,Google Pay,Pickup Point,USD,1767.24,0,353.45,14.99
O00000081,C00019597,2023-03-23,Processing,Apple Pay,Pickup Point,USD,4872.8,0,974.56,9.99
O00000082,C00018883,2023-03-24,Delivered,PayPal,Express,USD,8781.05,0,1756.21,9.99
O00000083,C00011402,2025-04-16,Delivered,Credit Card,Standard,USD,2678.76,0,535.75,9.99
O00000084,C00014904,2023-06-30,Delivered,Apple Pay,Standard,USD,12076.95,0,2415.39,4.99
O00000085,C00020403,2025-10-17,Delivered,Credit Card,Standard,USD,8143.77,0,1628.75,4.99
O00000086,C00003979,2023-03-01,Cancelled,Debit Card,Standard,USD,7044.8,0,1408.96,14.99
O00000087,C00003055,2024-04-05,Returned,Credit Card,Express,USD,4509.87,0,901.97,14.99
O00000088,C00016331,2024-08-20,Delivered,Apple Pay,Express,USD,12358.33,0,2471.67,14.99
O00000089,C00028313,2023-05-23,Delivered,Google Pay,Express,USD,1539.65,0,307.93,4.99
O00000090,C00028353,2023-11-01,Delivered,Google Pay,Express,USD,8700.74,0,1740.15,0.0
O00000091,C00018737,2025-02-23,Delivered,Google Pay,Standard,USD,2427.65,0,485.53,14.99
O00000092,C00016231,2023-03-17,Delivered,Debit Card,Express,USD,36.84,0,7.37,4.99
O00000093,C00017235,2025-07-24,Delivered,PayPal,Express,USD,1856.83,0,371.37,4.99
O00000094,C00020423,2025-03-25,Delivered,Apple Pay,Pickup Point,USD,5918.79,0,1183.76,4.99
O00000095,C00007455,2023-07-05,Delivered,Credit Card,Pickup Point,USD,2170.72,0,434.14,9.99
O00000096,C00022742,2024-09-05,Processing,Credit Card,Express,USD,3246.28,0,649.26,14.99
O00000097,C00012283,2025-06-01,Delivered,Debit Card,Express,USD,444.78,0,88.96,9.99
O00000098,C00020307,2024-05-08,Delivered,Debit Card,Standard,USD,4041.92,0,808.38,9.99
O00000099,C00021852,2023-01-20,Processing,Google Pay,Express,USD,4252.4,0,850.48,9.99
O00000100,C00020937,2025-05-18,Delivered,Google Pay,Express,USD,2628.47,0,525.69,4.99
O00000101,C00012497,2025-01-05,Delivered,Apple Pay,Standard,USD,6031.22,0,1206.24,9.99
O00000102,C00019893,2024-12-22,Delivered,PayPal,Pickup Point,USD,14399.76,0,2879.95,4.99
O00000103,C00010124,2025-06-21,Delivered,Apple Pay,Pickup Point,USD,4384.49,0,876.9,9.99
O00000104,C00005756,2024-02-16,Delivered,Debit Card,Express,USD,4702.33,0,940.47,4.99
O00000105,C00026354,2023-08-24,Delivered,Credit Card,Standard,USD,6218.01,0,1243.6,14.99
O00000106,C00002960,2025-03-19,Delivered,Debit Card,Standard,USD,10651.52,0,2130.3,0.0
O00000107,C00015450,2023-02-21,Delivered,Debit Card,Express,USD,7516.83,0,1503.37,0.0
O00000108,C00029799,2024-09-10,Delivered,Credit Card,Standard,USD,11.02,0,2.2,4.99
O00000109,C00016143,2023-08-26,Delivered,Debit Card,Standard,USD,7725.69,0,1545.14,9.99
O00000110,C00027319,2025-09-29,Delivered,Apple Pay,Standard,USD,4662.52,0,932.5,4.99
O00000111,C00022469,2025-01-22,Delivered,Apple Pay,Standard,USD,8645.93,0,1729.19,4.99
O00000112,C00001658,2024-11-14,Delivered,PayPal,Pickup Point,USD,4874.07,0,974.81,4.99
O00000113,C00026643,2024-04-22,Delivered,PayPal,Pickup Point,USD,1431.22,0,286.24,4.99
O00000114,C00004260,2024-05-28,Delivered,Credit Card,Pickup Point,USD,356.41,0,71.28,0.0
O00000115,C00011739,2024-05-02,Delivered,Credit Card,Standard,USD,5970.43,0,1194.09,14.99
O00000116,C00024434,2023-05-11,Delivered,Apple Pay,Pickup Point,USD,1914.56,0,382.91,4.99
O00000117,C00020156,2023-03-30,Delivered,Debit Card,Express,USD,7404.28,0,1480.86,0.0
O00000118,C00016066,2025-06-27,Delivered,Credit Card,Express,USD,4114.41,0,822.88,9.99
O00000119,C00012482,2025-12-22,Delivered,Debit Card,Pickup Point,USD,5489.05,0,1097.81,4.99
O00000120,C00011107,2025-07-17,Delivered,Credit Card,Express,USD,5884.43,0,1176.89,4.99
O00000121,C00027256,2023-06-24,Delivered,Credit Card,Pickup Point,USD,4316.1,0,863.22,9.99
O00000122,C00013462,2024-12-25,Shipped,Google Pay,Pickup Point,USD,1955.46,0,391.09,9.99
O00000123,C00011523,2023-08-01,Delivered,PayPal,Standard,USD,5338.9,0,1067.78,9.99
O00000124,C00026452,2025-05-28,Shipped,Debit Card,Pickup Point,USD,1367.43,0,273.49,4.99
O00000125,C00000949,2024-01-05,Delivered,Apple Pay,Express,USD,1905.56,0,381.11,9.99
O00000126,C00024281,2023-03-04,Delivered,Debit Card,Standard,USD,8543.24,0,1708.65,4.99
O00000127,C00025456,2023-06-23,Processing,PayPal,Standard,USD,692.37,0,138.47,4.99
O00000128,C00008917,2025-06-26,Delivered,Google Pay,Pickup Point,USD,6319.26,0,1263.85,14.99
O00000129,C00022224,2025-09-23,Delivered,Apple Pay,Standard,USD,3283.53,0,656.71,9.99
O00000130,C00009877,2024-03-08,Delivered,Apple Pay,Express,USD,3019.32,0,603.86,0.0
O00000131,C00012459,2025-12-26,Delivered,Debit Card,Pickup Point,USD,476.03,0,95.21,0.0
O00000132,C00015066,2023-06-09,Shipped,Debit Card,Express,USD,5540.71,0,1108.14,0.0
O00000133,C00026258,2025-07-31,Shipped,Apple Pay,Standard,USD,9292.38,0,1858.48,4.99
O00000134,C00024439,2024-11-26,Delivered,PayPal,Standard,USD,3384.09,0,676.82,9.99
O00000135,C00029686,2024-12-16,Delivered,PayPal,Standard,USD,884.67,0,176.93,0.0
O00000136,C00006465,2023-12-22,Delivered,Credit Card,Standard,USD,5546.07,0,1109.21,0.0
O00000137,C00002238,2025-08-18,Delivered,Apple Pay,Express,USD,3761.22,0,752.24,14.99
O00000138,C00010172,2025-08-03,Delivered,Credit Card,Express,USD,6045.56,0,1209.11,14.99
O00000139,C00014737,2024-01-21,Delivered,Google Pay,Pickup Point,USD,1878.94,0,375.79,9.99
O00000140,C00023407,2023-06-22,Delivered,PayPal,Standard,USD,8879.1,0,1775.82,14.99
O00000141,C00011925,2025-02-02,Processing,Google Pay,Express,USD,7288.31,0,1457.66,0.0
O00000142,C00003097,2025-03-02,Delivered,Debit Card,Standard,USD,6225.04,0,1245.01,0.0
O00000143,C00004226,2023-06-23,Delivered,Google Pay,Pickup Point,USD,5989.15,0,1197.83,9.99
O00000144,C00000598,2025-01-12,Delivered,PayPal,Express,USD,5512.98,0,1102.6,4.99
O00000145,C00021691,2024-11-20,Shipped,Debit Card,Standard,USD,3332.29,0,666.46,0.0
O00000146,C00011938,2024-05-01,Cancelled,Debit Card,Express,USD,3463.91,0,692.78,9.99
O00000147,C00015129,2024-07-31,Delivered,Debit Card,Pickup Point,USD,6290.7,0,1258.14,9.99
O00000148,C00028644,2025-01-30,Delivered,Credit Card,Pickup Point,USD,1337.52,0,267.5,9.99
O00000149,C00025006,2023-11-25,Delivered,Debit Card,Standard,USD,2711.58,0,542.32,4.99
O00000150,C00016450,2025-02-04,Delivered,Credit Card,Express,USD,1687.15,0,337.43,0.0
O00000151,C00025932,2023-10-27,Delivered,Apple Pay,Express,USD,3768.39,0,753.68,14.99
O00000152,C00029684,2023-06-12,Delivered,PayPal,Standard,USD,3270.32,0,654.06,9.99
O00000153,C00020938,2025-07-25,Delivered,Google Pay,Pickup Point,USD,2999.28,0,599.86,4.99
O00000154,C00023546,2023-10-22,Delivered,Credit Card,Pickup Point,USD,5002.9,0,1000.58,0.0
O00000155,C00002218,2025-12-13,Delivered,Debit Card,Pickup Point,USD,2765.57,0,553.11,9.99
O00000156,C00001427,2025-03-03,Returned,Apple Pay,Pickup Point,USD,3482.96,0,696.59,9.99
O00000157,C00011299,2024-05-08,Delivered,Credit Card,Pickup Point,USD,8466.41,0,1693.28,14.99
O00000158,C00027211,2025-08-09,Returned,Google Pay,Pickup Point,USD,1610.6,0,322.12,0.0
O00000159,C00001212,2024-08-23,Delivered,PayPal,Standard,USD,10208.36,0,2041.67,0.0
O00000160,C00024684,2024-01-27,Delivered,Credit Card,Pickup Point,USD,4990.25,0,998.05,9.99
O00000161,C00029316,2025-03-02,Delivered,PayPal,Express,USD,10076.38,0,2015.28,14.99
O00000162,C00017875,2024-08-24,Delivered,Credit Card,Express,USD,3039.41,0,607.88,0.0
O00000163,C00011520,2025-07-04,Delivered,Apple Pay,Pickup Point,USD,4363.81,0,872.76,0.0
O00000164,C00027810,2025-06-16,Delivered,Credit Card,Standard,USD,8731.64,0,1746.33,4.99
O00000165,C00022252,2025-07-10,Processing,Apple Pay,Express,USD,2410.77,0,482.15,0.0
O00000166,C00017350,2025-01-21,Delivered,Apple Pay,Standard,USD,1108.88,0,221.78,0.0
O00000167,C00016353,2025-11-26,Delivered,Debit Card,Standard,USD,6564.46,0,1312.89,14.99
O00000168,C00006560,2023-09-09,Delivered,Credit Card,Express,USD,3841.87,0,768.37,9.99
O00000169,C00021884,2024-12-12,Delivered,Debit Card,Pickup Point,USD,9704.3,0,1940.86,9.99
O00000170,C00003977,2024-02-16,Delivered,PayPal,Express,USD,141.0,0,28.2,0.0
O00000171,C00015316,2023-09-23,Delivered,Credit Card,Standard,USD,7771.04,0,1554.21,0.0
O00000172,C00004107,2024-10-11,Delivered,Google Pay,Express,USD,3591.92,0,718.38,14.99
O00000173,C00027244,2023-09-12,Delivered,Apple Pay,Standard,USD,2406.98,0,481.4,9.99
O00000174,C00027720,2023-06-11,Delivered,Debit Card,Express,USD,4079.18,0,815.84,9.99
O00000175,C00016469,2023-12-12,Delivered,Debit Card,Standard,USD,10281.06,0,2056.21,0.0
O00000176,C00027042,2023-02-28,Delivered,Debit Card,Express,USD,8422.42,0,1684.48,4.99
O00000177,C00016320,2024-08-16,Delivered,Apple Pay,Express,USD,4988.53,0,997.71,14.99
O00000178,C00002392,2023-05-03,Delivered,Google Pay,Express,USD,12990.67,0,2598.13,9.99
O00000179,C00013066,2023-09-25,Delivered,Debit Card,Pickup Point,USD,1790.58,0,358.12,4.99
O00000180,C00015286,2023-09-08,Delivered,PayPal,Standard,USD,1133.27,0,226.65,4.99
O00000181,C00012588,2025-05-06,Delivered,PayPal,Express,USD,5414.12,0,1082.82,9.99
O00000182,C00016298,2023-02-17,Delivered,Google Pay,Pickup Point,USD,5931.2,0,1186.24,0.0
O00000183,C00019580,2025-08-21,Delivered,Credit Card,Standard,USD,7451.04,0,1490.21,0.0
O00000184,C00001677,2024-02-03,Delivered,Apple Pay,Standard,USD,11261.42,0,2252.28,14.99
O00000185,C00012908,2025-02-03,Delivered,Apple Pay,Pickup Point,USD,3958.19,0,791.64,14.99
O00000186,C00001485,2023-03-21,Delivered,Apple Pay,Express,USD,5253.11,0,1050.62,0.0
O00000187,C00019456,2024-11-19,Delivered,Debit Card,Pickup Point,USD,16358.75,0,3271.75,9.99
O00000188,C00013650,2024-09-22,Delivered,Credit Card,Pickup Point,USD,7302.04,0,1460.41,14.99
O00000189,C00004843,2024-05-11,Delivered,Credit Card,Standard,USD,556.74,0,111.35,4.99
O00000190,C00013723,2023-11-07,Delivered,PayPal,Express,USD,12137.03,0,2427.41,14.99
O00000191,C00021700,2025-09-06,Delivered,Apple Pay,Standard,USD,12857.83,0,2571.57,9.99
O00000192,C00006301,2024-05-19,Delivered,Apple Pay,Standard,USD,10867.04,0,2173.41,4.99
O00000193,C00011430,2024-07-14,Delivered,Debit Card,Pickup Point,USD,6204.13,0,1240.83,0.0
O00000194,C00011350,2025-06-24,Delivered,Google Pay,Standard,USD,9001.04,0,1800.21,14.99
O00000195,C00004499,2023-08-12,Delivered,Debit Card,Standard,USD,314.42,0,62.88,9.99
O00000196,C00001721,2023-07-25,Delivered,Google Pay,Standard,USD,1422.53,0,284.51,0.0
O00000197,C00015646,2024-02-13,Delivered,Apple Pay,Express,USD,5649.75,0,1129.95,0.0
O00000198,C00029925,2023-12-25,Delivered,PayPal,Standard,USD,8207.43,0,1641.49,0.0
O00000199,C00010979,2024-08-05,Delivered,Debit Card,Pickup Point,USD,5280.93,0,1056.19,9.99
O00000200,C00021244,2024-06-10,Delivered,Credit Card,Pickup Point,USD,4628.7,0,925.74,14.99
O00000201,C00002843,2025-03-31,Delivered,PayPal,Standard,USD,7277.03,0,1455.41,0.0
O00000202,C00010802,2024-09-10,Delivered,Debit Card,Standard,USD,2857.59,0,571.52,14.99
O00000203,C00015251,2024-09-20,Delivered,Debit Card,Pickup Point,USD,6318.31,0,1263.66,9.99
O00000204,C00007181,2023-10-01,Delivered,Google Pay,Pickup Point,USD,6679.29,0,1335.86,4.99
O00000205,C00017220,2025-07-03,Delivered,Apple Pay,Standard,USD,1741.33,0,348.27,9.99
O00000206,C00018767,2023-11-03,Delivered,Debit Card,Express,USD,2262.03,0,452.41,14.99
O00000207,C00023492,2025-09-28,Delivered,Debit Card,Express,USD,3786.1,0,757.22,9.99
O00000208,C00016819,2025-04-30,Delivered,Credit Card,Pickup Point,USD,6855.51,0,1371.1,14.99
O00000209,C00018951,2023-05-30,Delivered,Apple Pay,Pickup Point,USD,3980.64,0,796.13,0.0
O00000210,C00029302,2023-05-22,Returned,Google Pay,Standard,USD,6287.53,0,1257.51,14.99
O00000211,C00014698,2025-02-12,Delivered,Debit Card,Standard,USD,8798.86,0,1759.77,14.99
O00000212,C00023851,2024-04-01,Shipped,Credit Card,Express,USD,6112.36,0,1222.47,4.99
O00000213,C00005084,2024-07-18,Delivered,Credit Card,Standard,USD,8747.67,0,1749.53,0.0
O00000214,C00014629,2023-04-10,Delivered,Credit Card,Express,USD,3338.77,0,667.75,4.99
O00000215,C00018923,2024-10-18,Delivered,PayPal,Pickup Point,USD,2320.09,0,464.02,9.99
O00000216,C00018243,2023-12-25,Delivered,Google Pay,Pickup Point,USD,7235.8,0,1447.16,0.0
O00000217,C00013378,2023-11-02,Delivered,PayPal,Pickup Point,USD,9268.39,0,1853.68,14.99
O00000218,C00013649,2025-12-21,Delivered,PayPal,Express,USD,4508.87,0,901.77,9.99
O00000219,C00003030,2024-01-26,Delivered,Google Pay,Pickup Point,USD,711.43,0,142.29,14.99
O00000220,C00026367,2024-03-20,Delivered,Apple Pay,Express,USD,597.44,0,119.49,0.0
O00000221,C00024297,2023-08-29,Delivered,Google Pay,Standard,USD,7161.83,0,1432.37,9.99
O00000222,C00025413,2024-08-02,Delivered,Debit Card,Pickup Point,USD,5138.53,0,1027.71,0.0
O00000223,C00026307,2025-08-19,Delivered,Apple Pay,Standard,USD,11180.07,0,2236.01,14.99
O00000224,C00000532,2024-06-18,Delivered,Debit Card,Pickup Point,USD,10324.09,0,2064.82,4.99
O00000225,C00016362,2024-11-22,Delivered,Google Pay,Pickup Point,USD,13093.17,0,2618.63,14.99
O00000226,C00006031,2023-05-01,Delivered,Credit Card,Pickup Point,USD,1659.76,0,331.95,9.99
O00000227,C00004506,2024-04-18,Delivered,PayPal,Standard,USD,2928.86,0,585.77,14.99
O00000228,C00020246,2025-09-16,Delivered,Credit Card,Standard,USD,12059.07,0,2411.81,14.99
O00000229,C00026417,2024-01-03,Delivered,Credit Card,Pickup Point,USD,3789.77,0,757.95,14.99
O00000230,C00026713,2024-12-26,Delivered,Google Pay,Standard,USD,12228.45,0,2445.69,4.99
O00000231,C00009830,2023-06-15,Delivered,Credit Card,Standard,USD,9015.25,0,1803.05,4.99
O00000232,C00002710,2025-10-20,Shipped,Apple Pay,Pickup Point,USD,4417.14,0,883.43,0.0
O00000233,C00007529,2024-03-08,Processing,Debit Card,Express,USD,7107.03,0,1421.41,14.99
O00000234,C00005878,2024-10-06,Delivered,PayPal,Pickup Point,USD,4371.18,0,874.24,14.99
O00000235,C00005324,2024-05-07,Delivered,Google Pay,Pickup Point,USD,7148.63,0,1429.73,14.99
O00000236,C00001760,2023-07-20,Delivered,Credit Card,Express,USD,8814.88,0,1762.98,0.0
O00000237,C00018122,2025-02-07,Delivered,Debit Card,Pickup Point,USD,3574.73,0,714.95,0.0
O00000238,C00023321,2023-11-12,Delivered,Apple Pay,Express,USD,776.2,0,155.24,14.99
O00000239,C00010102,2025-06-29,Delivered,Apple Pay,Standard,USD,2915.25,0,583.05,9.99
O00000240,C00018252,2025-11-15,Delivered,Credit Card,Standard,USD,8222.63,0,1644.53,4.99
O00000241,C00009564,2025-04-27,Delivered,Credit Card,Pickup Point,USD,6997.16,0,1399.43,9.99
O00000242,C00005555,2023-10-12,Delivered,Apple Pay,Express,USD,1661.69,0,332.34,14.99
O00000243,C00013799,2024-09-05,Delivered,Credit Card,Express,USD,5653.31,0,1130.66,4.99
O00000244,C00004440,2024-09-15,Delivered,Google Pay,Express,USD,6237.55,0,1247.51,4.99
O00000245,C00019767,2024-02-16,Delivered,PayPal,Express,USD,6025.93,0,1205.19,14.99
O00000246,C00009185,2025-03-15,Delivered,Debit Card,Standard,USD,2594.66,0,518.93,9.99
O00000247,C00023212,2024-03-05,Delivered,Apple Pay,Pickup Point,USD,3465.25,0,693.05,9.99
O00000248,C00004561,2024-09-12,Delivered,PayPal,Pickup Point,USD,12815.42,0,2563.08,0.0
O00000249,C00017815,2023-03-17,Delivered,Apple Pay,Pickup Point,USD,1161.46,0,232.29,14.99
O00000250,C00021549,2024-12-28,Delivered,Debit Card,Standard,USD,3122.09,0,624.42,14.99
O00000251,C00014608,2025-02-05,Delivered,Debit Card,Pickup Point,USD,3334.94,0,666.99,4.99
O00000252,C00009681,2025-05-01,Processing,Credit Card,Standard,USD,6430.3,0,1286.06,0.0
O00000253,C00025699,2024-02-28,Delivered,Apple Pay,Express,USD,177.73,0,35.55,4.99
O00000254,C00010451,2023-05-18,Delivered,Credit Card,Standard,USD,9340.14,0,1868.03,9.99
O00000255,C00016909,2023-12-24,Delivered,Apple Pay,Pickup Point,USD,6466.64,0,1293.33,9.99
O00000256,C00024163,2024-02-09,Delivered,Google Pay,Express,USD,3223.86,0,644.77,4.99
O00000257,C00006744,2024-07-24,Delivered,Credit Card,Pickup Point,USD,2975.1,0,595.02,4.99
O00000258,C00011987,2024-10-29,Delivered,Credit Card,Express,USD,15714.33,0,3142.87,0.0
O00000259,C00011401,2024-12-21,Shipped,Debit Card,Standard,USD,9030.66,0,1806.13,4.99
O00000260,C00007818,2024-09-17,Delivered,Apple Pay,Pickup Point,USD,7748.37,0,1549.67,0.0
O00000261,C00018836,2025-02-24,Delivered,Google Pay,Pickup Point,USD,1791.77,0,358.35,14.99
O00000262,C00004598,2024-01-19,Delivered,Google Pay,Pickup Point,USD,3023.8,0,604.76,4.99
O00000263,C00015880,2023-10-07,Delivered,Google Pay,Pickup Point,USD,5910.23,0,1182.05,9.99
O00000264,C00026080,2024-03-27,Delivered,Apple Pay,Standard,USD,6094.63,0,1218.93,9.99
O00000265,C00018767,2023-08-22,Delivered,Debit Card,Express,USD,5010.23,0,1002.05,14.99
O00000266,C00017903,2024-03-23,Returned,Credit Card,Pickup Point,USD,3738.19,0,747.64,14.99
O00000267,C00011423,2023-06-28,Delivered,Credit Card,Standard,USD,8940.3,0,1788.06,0.0
O00000268,C00005439,2023-10-13,Delivered,PayPal,Standard,USD,10099.0,0,2019.8,14.99
O00000269,C00009481,2024-07-01,Cancelled,Debit Card,Pickup Point,USD,1000.19,0,200.04,4.99
O00000270,C00001943,2024-07-21,Shipped,PayPal,Pickup Point,USD,3419.59,0,683.92,9.99
O00000271,C00027148,2024-05-21,Delivered,Google Pay,Express,USD,6493.16,0,1298.63,9.99
