OrderID,CampaignID,AttributionModel,ConversionDays,CampaignChannel
O00000184,M0325,Last Click,23,Social
O00000186,M0835,Time Decay,10,Search
O00000187,M0704,Linear,17,Email
O00000188,M0744,Time Decay,21,Email
O00000190,M0275,First Click,19,Email
O00000191,M0786,Time Decay,17,Email
O00000193,M0337,First Click,13,Email
O00000195,M0469,Linear,14,Social
O00000196,M0615,First Click,16,Search
O00000197,M0857,First Click,21,Social
O00000198,M0158,Linear,2,Social
O00000201,M0633,First Click,25,Affiliate
O00000202,M0623,Last Click,1,Search
O00000203,M0305,Time Decay,19,Social
O00000205,M0645,Time Decay,28,Search
O00000206,M0586,First Click,22,Search
O00000207,M0791,Time Decay,12,Search
O00000208,M0468,Last Click,28,Email
O00000211,M0031,Time Decay,7,Social
O00000212,M0646,Time Decay,1,Search
O00000213,M0278,Last Click,14,Search
O00000214,M0696,Time Decay,21,Search
O00000215,M0996,Linear,30,Email
O00000217,M0673,Time Decay,26,Search
O00000219,M0197,First Click,23,Social
O00000221,M0862,First Click,26,Email
O00000222,M0529,Time Decay,20,Search
O00000223,M0122,Time Decay,2,Search
O00000224,M0960,First Click,8,Affiliate
O00000225,M0410,Last Click,4,Search
O00000226,M0822,Time Decay,22,Email
O00000227,M0691,First Click,2,Email
O00000228,M0881,Linear,17,Social
O00000229,M0201,Last Click,6,Affiliate
O00000231,M0047,Last Click,27,Social
O00000233,M0124,Time Decay,0,Social
O00000235,M0231,Time Decay,27,Search
O00000238,M0274,First Click,15,Affiliate
O00000239,M0268,Time Decay,15,Social
O00000240,M0100,Linear,21,Affiliate
O00000241,M0311,Time Decay,23,Affiliate
O00000242,M0651,Time Decay,29,Search
O00000243,M0275,Last Click,29,Email
O00000244,M0183,Last Click,2,Social
O00000245,M0079,First Click,27,Email
O00000246,M0946,Last Click,8,Search
O00000247,M0993,First Click,14,Affiliate
O00000248,M0892,Time Decay,8,Search
O00000251,M0021,Last Click,15,Social
O00000252,M0875,Last Click,30,Search
O00000253,M0152,Last Click,24,Email
O00000255,M0507,Last Click,30,Social
O00000256,M0836,Last Click,19,Social
O00000257,M0227,First Click,15,Email
O00000258,M0512,First Click,14,Affiliate
O00000259,M0100,Linear,5,Affiliate
O00000260,M0408,Last Click,24,Email
O00000263,M0903,Last Click,29,Social
O00000264,M0057,Time Decay,12,Search
O00000266,M0295,First Click,3,Affiliate
O00000267,M0117,Linear,27,Social
O00000268,M0632,Last Click,25,Affiliate
O00000271,M0991,Time Decay,21,Email
O00000272,M0059,Linear,0,Social
O00000275,M0381,Linear,20,Search
O00000277,M0476,First Click,13,Email
O00000278,M0857,Linear,19,Social
O00000280,M0098,Time Decay,14,Email
O00000281,M0609,Linear,10,Email
O00000284,M0311,Time Decay,7,Affiliate
O00000286,M0903,Time Decay,10,Social
O00000287,M0642,Linear,5,Search
O00000288,M0344,Linear,25,Email
O00000289,M0351,Linear,28,Search
O00000290,M0782,Linear,17,Search
O00000291,M0903,First Click,2,Social
O00000292,M0534,Time Decay,15,Affiliate
O00000293,M0022,First Click,22,Social
O00000294,M0773,Time Decay,14,Email
O00000296,M0808,First Click,12,Social
O00000297,M0398,Linear,21,Social
O00000298,M0906,Time Decay,17,Social
O00000299,M0261,Time Decay,23,Email
O00000300,M0335,Linear,22,Affiliate
O00000301,M0621,Linear,8,Email
O00000302,M0677,First Click,10,Social
O00000303,M0048,First Click,6,Email
O00000304,M0116,Time Decay,8,Email
O00000307,M0897,Linear,3,Affiliate
O00000309,M0148,Linear,5,Search
O00000310,M0220,First Click,8,Social
O00000311,M0308,Last Click,17,Social
O00000312,M0535,First Click,20,Affiliate
O00000314,M0182,Last Click,18,Affiliate
O00000315,M0603,Time Decay,14,Affiliate
O00000316,M0671,Last Click,8,Affiliate
O00000318,M0139,Last Click,12,Social
O00000319,M0985,Last Click,4,Search
O00000320,M0164,Linear,2,Search
O00000322,M0993,Time Decay,19,Affiliate
O00000323,M0454,First Click,24,Email
O00000324,M0442,Time Decay,29,Social
O00000325,M0721,Time Decay,9,Email
O00000326,M0496,Last Click,19,Email
O00000328,M0482,First Click,20,Email
O00000329,M0658,Last Click,5,Email
O00000330,M0407,Last Click,5,Social
O00000331,M0284,Time Decay,22,Social
O00000332,M0846,Linear,1,Affiliate
O00000333,M0078,Linear,22,Affiliate
O00000335,M0651,First Click,29,Search
O00000336,M0242,First Click,13,Affiliate
O00000337,M0949,First Click,20,Social
O00000338,M0735,Linear,26,Social
O00000339,M0652,Last Click,5,Email
O00000341,M0089,Linear,14,Social
O00000342,M0978,Linear,22,Search
O00000343,M0978,Linear,16,Search
O00000344,M0400,Time Decay,2,Social
O00000345,M0745,Time Decay,23,Social
O00000346,M0863,Linear,0,Affiliate
O00000347,M0062,Last Click,24,Social
O00000348,M0733,Linear,18,Affiliate
O00000349,M0023,First Click,15,Affiliate
O00000350,M0966,Time Decay,29,Email
O00000351,M0681,Time Decay,20,Search
O00000354,M0592,Time Decay,10,Affiliate
O00000355,M0146,Last Click,27,Social
O00000356,M0004,Time Decay,22,Affiliate
O00000357,M0791,Time Decay,26,Search
O00000359,M0650,Last Click,10,Affiliate
O00000360,M0907,Last Click,24,Email
O00000361,M0178,Last Click,21,Search
O00000363,M0047,Last Click,6,Social
O00000364,M0927,Time Decay,20,Affiliate
O00000365,M0952,Last Click,6,Search
O00000366,M0340,First Click,29,Email
O00000367,M0564,Time Decay,3,Affiliate
O00000368,M0689,First Click,22,Search
O00000369,M0428,Last Click,17,Email
O00000370,M0998,First Click,26,Search
O00000372,M0837,Last Click,20,Email
O00000374,M0191,Linear,16,Email
O00000375,M0142,Time Decay,26,Search
O00000376,M0239,Time Decay,7,Social
O00000377,M0202,First Click,12,Affiliate
O00000378,M0738,First Click,27,Email
O00000379,M0195,Time Decay,10,Email
O00000381,M0654,Last Click,9,Social
O00000384,M0540,Time Decay,27,Search
O00000385,M0618,Time Decay,11,Email
O00000386,M0739,Time Decay,14,Search
O00000390,M0309,Time Decay,7,Social
O00000392,M0942,Linear,23,Affiliate
O00000393,M0924,Time Decay,12,Email
O00000396,M0239,First Click,15,Social
O00000398,M0618,Linear,27,Email
O00000399,M0155,Time Decay,3,Email
O00000400,M0632,Time Decay,0,Affiliate
O00000402,M0616,First Click,2,Email
O00000403,M0064,Linear,10,Affiliate
O00000404,M0844,Time Decay,20,Affiliate
O00000405,M0383,Linear,27,Search
O00000406,M0919,Time Decay,30,Email
O00000407,M0995,Time Decay,27,Affiliate
O00000408,M0496,Last Click,7,Email
O00000409,M0733,Linear,7,Affiliate
O00000411,M0256,Last Click,24,Affiliate
O00000412,M0645,Last Click,14,Search
O00000413,M0487,Linear,28,Search
O00000414,M0078,Linear,25,Affiliate
O00000415,M0990,Linear,11,Search
O00000416,M0442,First Click,16,Social
O00000417,M0883,First Click,5,Social
O00000418,M0727,Time Decay,19,Affiliate
O00000419,M0488,Time Decay,29,Affiliate
O00000420,M0458,First Click,14,Affiliate
O00000421,M0405,Time Decay,8,Email
O00000422,M0368,Time Decay,28,Social
O00000423,M0961,First Click,2,Search
O00000424,M0985,Linear,18,Search
O00000425,M0568,Time Decay,22,Social
O00000426,M1000,Linear,6,Social
O00000429,M0156,Time Decay,18,Search
O00000430,M0056,Linear,22,Search
O00000431,M0858,Time Decay,8,Social
O00000432,M0421,Last Click,29,Email
O00000433,M0030,Time Decay,26,Search
O00000435,M0448,First Click,19,Search
O00000437,M0323,First Click,19,Social
O00000438,M0471,First Click,20,Search
O00000439,M0518,Last Click,9,Search
O00000441,M0164,Linear,23,Search
O00000442,M0966,Linear,10,Email
O00000444,M0108,First Click,25,Email
O00000445,M0388,Linear,16,Search
O00000446,M0937,Linear,26,Social
O00000447,M0451,Time Decay,30,Email
O00000450,M0518,Last Click,14,Search
O00000452,M0675,First Click,27,Search
O00000453,M0155,Time Decay,30,Email
O00000455,M0754,Last Click,25,Email
O00000456,M0257,Linear,17,Social
O00000457,M0221,Linear,21,Affiliate
O00000459,M0249,Time Decay,26,Search
O00000460,M0844,Linear,3,Affiliate
O00000461,M0666,Time Decay,0,Affiliate
O00000462,M0712,Linear,29,Affiliate
O00000463,M0060,Last Click,20,Affiliate
O00000466,M0806,Time Decay,3,Email
O00000467,M0571,Last Click,9,Search
O00000469,M0456,First Click,28,Social
O00000470,M0706,Time Decay,14,Social
O00000471,M0472,Time Decay,18,Social
O00000473,M0816,Time Decay,20,Social
O00000474,M0311,Time Decay,19,Affiliate
O00000475,M0982,Linear,1,Social
O00000476,M0369,First Click,14,Social
O00000477,M0738,First Click,27,Email
O00000478,M0874,Linear,17,Affiliate
O00000480,M0863,Last Click,12,Affiliate
O00000481,M0331,Last Click,30,Search
O00000483,M0198,First Click,20,Email
O00000484,M0143,Last Click,1,Search
O00000486,M0804,First Click,25,Affiliate
O00000487,M0722,Last Click,26,Search
O00000489,M0052,First Click,26,Email
O00000491,M0181,First Click,25,Search
O00000493,M0442,First Click,4,Social
O00000494,M0085,First Click,3,Social
O00000495,M0597,Last Click,4,Affiliate
O00000496,M0076,First Click,18,Affiliate
O00000497,M0316,First Click,8,Social
O00000498,M0665,Time Decay,16,Affiliate
O00000499,M0574,Last Click,15,Search
O00000500,M0637,Linear,16,Affiliate
O00000501,M0062,Time Decay,16,Social
O00000502,M0089,Last Click,23,Social
O00000505,M0826,Time Decay,20,Social
O00000507,M0857,Time Decay,27,Social
O00000508,M0958,Last Click,15,Affiliate
O00000509,M0886,Time Decay,2,Search
O00000511,M0011,First Click,2,Social
O00000512,M0519,Linear,12,Social
O00000514,M0388,Time Decay,16,Search
O00000515,M0796,Last Click,25,Email
O00000516,M0981,First Click,13,Email
O00000517,M0138,First Click,13,Social
O00000518,M0380,Time Decay,12,Social
O00000519,M0129,Last Click,10,Social
O00000520,M0016,Linear,11,Affiliate
O00000522,M0087,Time Decay,2,Affiliate
O00000523,M0982,Last Click,2,Social
O00000524,M0814,Linear,25,Social
O00000525,M0146,Last Click,18,Social
O00000527,M0195,Last Click,13,Email
O00000528,M0856,Time Decay,27,Affiliate
O00000530,M0801,Linear,19,Search
O00000531,M0162,Last Click,18,Social
O00000532,M0115,First Click,21,Social
O00000533,M0794,Last Click,11,Email
O00000535,M0118,Linear,18,Search
O00000536,M0119,Time Decay,27,Email
O00000537,M0827,Last Click,19,Search
O00000540,M0641,First Click,8,Search
O00000541,M0500,Linear,29,Email
O00000542,M0013,Last Click,5,Search
O00000544,M0316,Time Decay,2,Social
O00000545,M0388,Last Click,2,Search
O00000547,M0210,Time Decay,14,Affiliate
O00000548,M0071,Linear,9,Social
O00000551,M0346,Last Click,28,Social
O00000552,M0517,First Click,24,Affiliate
O00000553,M0248,Last Click,8,Email
O00000554,M0891,Time Decay,15,Affiliate
O00000555,M0392,Time Decay,8,Email
O00000556,M0365,Last Click,11,Affiliate
O00000557,M0454,Linear,21,Email
O00000558,M0867,Time Decay,16,Affiliate
O00000559,M0987,Last Click,7,Search
O00000560,M0700,Last Click,0,Email
O00000561,M0980,First Click,24,Social
O00000562,M0724,Linear,9,Email
O00000563,M0438,Last Click,15,Search
O00000565,M0085,Time Decay,17,Social
O00000566,M0943,Linear,2,Social
O00000567,M0819,Last Click,13,Affiliate
O00000568,M0462,Last Click,27,Search
O00000569,M0250,Time Decay,18,Affiliate
O00000570,M0793,Time Decay,9,Affiliate
O00000571,M0796,Last Click,30,Email
O00000572,M0347,Time Decay,26,Affiliate
O00000573,M0628,Linear,2,Social
O00000574,M0902,Last Click,7,Search
O00000575,M0383,Time Decay,16,Search
O00000576,M0939,Linear,23,Email
O00000577,M0111,Linear,24,Email
O00000578,M0378,Last Click,16,Social
O00000579,M0780,Linear,11,Social
O00000583,M0235,First Click,8,Social
O00000584,M0147,First Click,24,Affiliate
O00000586,M0205,Time Decay,14,Search
O00000589,M0001,Linear,27,Social
O00000591,M0810,Time Decay,2,Search
O00000592,M0189,Linear,25,Social
O00000593,M0190,Last Click,11,Affiliate
O00000594,M0995,Linear,14,Affiliate
O00000595,M0073,Last Click,11,Email
O00000597,M0100,Last Click,19,Affiliate
O00000598,M0905,Time Decay,14,Affiliate
O00000599,M0196,Last Click,14,Search
O00000601,M0553,First Click,10,Social
O00000602,M0342,First Click,30,Email
O00000603,M0809,Last Click,25,Email
O00000605,M0233,Last Click,16,Search
O00000606,M0810,Last Click,7,Search
O00000607,M0952,Time Decay,16,Search
O00000608,M0902,First Click,11,Search
O00000609,M0807,Linear,12,Social
O00000610,M0896,Linear,21,Affiliate
O00000611,M0021,Linear,2,Social
O00000612,M0526,Time Decay,9,Email
O00000613,M0502,First Click,10,Email
O00000614,M0882,First Click,29,Social
O00000615,M0013,Time Decay,4,Search
O00000616,M0340,Last Click,9,Email
O00000617,M0636,Linear,26,Email
O00000618,M0380,Last Click,20,Social
O00000619,M0939,Linear,0,Email
O00000620,M0784,First Click,30,Search
O00000621,M0699,Time Decay,6,Affiliate
O00000622,M0922,First Click,4,Affiliate
O00000623,M0400,Last Click,16,Social
O00000627,M0865,Linear,28,Search
O00000629,M0958,Time Decay,4,Affiliate
O00000630,M0690,First Click,23,Search
O00000631,M0357,Time Decay,11,Search
O00000632,M0794,First Click,14,Email
O00000633,M0283,Time Decay,7,Email
O00000634,M0796,Linear,30,Email
O00000636,M0408,First Click,11,Email
O00000637,M0027,Time Decay,14,Social
O00000640,M0702,Time Decay,30,Search
O00000641,M0105,First Click,25,Search
O00000642,M0658,Linear,1,Email
O00000643,M0229,Linear,17,Social
O00000645,M0875,Last Click,9,Search
O00000646,M0286,First Click,8,Affiliate
O00000647,M0622,First Click,26,Email
O00000648,M0317,First Click,26,Affiliate
O00000649,M0380,Linear,29,Social
O00000650,M0712,Last Click,12,Affiliate
O00000651,M0526,First Click,12,Email
O00000653,M0889,Last Click,10,Social
O00000656,M0893,First Click,4,Email
O00000657,M0988,Time Decay,22,Social
O00000660,M0442,Last Click,28,Social
O00000661,M0492,Linear,6,Affiliate
O00000663,M0535,Time Decay,3,Affiliate
O00000665,M0923,Last Click,1,Affiliate
O00000666,M0188,Time Decay,2,Search
O00000667,M0871,Time Decay,19,Social
O00000668,M0257,First Click,22,Social
O00000669,M0869,Time Decay,0,Affiliate
O00000670,M0282,First Click,18,Affiliate
O00000671,M0884,Last Click,16,Email
O00000673,M0298,Last Click,12,Social
O00000675,M0731,Time Decay,11,Email
O00000676,M0501,Last Click,11,Social
O00000678,M0876,Last Click,24,Affiliate
O00000679,M0408,Linear,4,Email
O00000680,M0757,Linear,26,Email
O00000681,M0926,Time Decay,22,Affiliate
O00000682,M0327,First Click,25,Social
O00000683,M0020,Time Decay,1,Email
O00000684,M0007,Last Click,25,Search
O00000685,M0281,Last Click,10,Email
O00000687,M0825,Time Decay,8,Search
O00000688,M0120,First Click,9,Email
O00000689,M0688,Last Click,27,Affiliate
O00000690,M0386,Linear,3,Search
O00000692,M0138,Time Decay,23,Social
O00000693,M0660,Time Decay,10,Social
O00000695,M0503,Time Decay,11,Affiliate
O00000697,M0357,Last Click,23,Search
O00000698,M0578,Time Decay,19,Affiliate
O00000700,M0203,Linear,10,Affiliate
O00000701,M0167,Linear,21,Social
O00000702,M0549,Time Decay,19,Social
O00000703,M0751,First Click,22,Search
O00000704,M0157,Time Decay,1,Search
O00000707,M0017,Time Decay,8,Affiliate
O00000708,M0611,Last Click,2,Social
O00000709,M0944,Time Decay,11,Email
O00000710,M0068,First Click,30,Email
O00000711,M0765,Time Decay,1,Social
O00000712,M0630,First Click,24,Social
O00000713,M0690,Linear,12,Search
O00000715,M0429,First Click,21,Email
O00000716,M0970,Linear,11,Email
O00000717,M0865,Last Click,18,Search
O00000718,M0026,Linear,12,Search
O00000719,M0148,Linear,7,Search
O00000721,M0618,First Click,15,Email
O00000722,M0216,Last Click,8,Search
O00000724,M0790,First Click,19,Social
O00000725,M0924,Time Decay,6,Email
O00000726,M0596,Last Click,14,Social
O00000727,M0696,Time Decay,2,Search
O00000731,M0682,Last Click,17,Affiliate
O00000732,M0907,Linear,27,Email
O00000733,M0423,First Click,25,Social
O00000734,M0462,First Click,3,Search
O00000737,M0887,Time Decay,0,Affiliate
O00000738,M0248,Linear,14,Email
O00000740,M0778,Last Click,2,Search
O00000741,M0451,Time Decay,16,Email
O00000742,M0180,Time Decay,26,Social
O00000743,M0795,First Click,10,Search
O00000744,M0622,Time Decay,14,Email
O00000745,M0598,Linear,4,Affiliate
O00000748,M0610,First Click,24,Affiliate
O00000750,M0327,Last Click,26,Social
O00000751,M0506,First Click,9,Search
O00000752,M0274,Linear,29,Affiliate
O00000753,M0408,Linear,30,Email
O00000757,M0392,Linear,4,Email
O00000758,M0650,Last Click,16,Affiliate
O00000759,M0174,First Click,5,Email
O00000760,M0231,Linear,26,Search
O00000762,M0107,Last Click,2,Social
O00000763,M0354,Linear,20,Email
O00000764,M0151,Time Decay,19,Affiliate
O00000765,M0889,Time Decay,28,Social
O00000766,M0596,Linear,20,Social
O00000768,M0397,Time Decay,9,Search
O00000769,M0439,Last Click,5,Search
O00000770,M0088,Time Decay,14,Affiliate
O00000771,M0480,First Click,10,Email
O00000773,M0546,Linear,12,Email
O00000774,M0700,Linear,16,Email
O00000775,M0748,Linear,7,Affiliate
O00000776,M0236,Linear,14,Search
O00000777,M0017,Last Click,1,Affiliate
O00000778,M0731,Time Decay,27,Email
O00000779,M0026,First Click,30,Search
O00000781,M0590,Linear,29,Search
O00000782,M0008,Linear,6,Email
O00000784,M0259,Time Decay,15,Email
O00000786,M0245,Last Click,30,Social
O00000787,M0452,Time Decay,30,Affiliate
O00000788,M0035,Linear,1,Affiliate
O00000789,M0264,Time Decay,19,Social
O00000791,M0512,Time Decay,9,Affiliate
O00000792,M0207,Last Click,13,Search
O00000793,M0403,Linear,23,Search
O00000794,M0091,Time Decay,11,Social
O00000795,M0425,Last Click,18,Affiliate
O00000796,M0410,Linear,17,Search
O00000797,M0978,Time Decay,16,Search
O00000798,M0756,Linear,26,Search
O00000800,M0607,Last Click,4,Email
O00000802,M0978,Linear,17,Search
O00000805,M0436,Time Decay,16,Search
O00000806,M0642,Last Click,4,Search
O00000807,M0326,Time Decay,16,Email
O00000808,M0651,First Click,10,Search
O00000810,M0231,Time Decay,19,Search
O00000812,M0106,Linear,16,Search
O00000814,M0321,Linear,15,Search
O00000816,M0053,Last Click,13,Email
O00000817,M0654,Last Click,19,Social
O00000818,M0388,First Click,23,Search
O00000819,M0447,Time Decay,5,Social
O00000820,M0830,Time Decay,4,Affiliate
O00000822,M0760,Last Click,6,Affiliate
O00000823,M0827,Linear,13,Search
O00000824,M0711,First Click,13,Social
O00000825,M0265,Time Decay,27,Email
O00000828,M0769,First Click,17,Email
O00000829,M0516,Time Decay,16,Search
O00000830,M0598,First Click,14,Affiliate
O00000832,M0999,Linear,21,Affiliate
O00000835,M0513,Linear,19,Affiliate
O00000836,M0578,First Click,8,Affiliate
O00000837,M0906,First Click,30,Social
O00000839,M0691,Linear,22,Email
O00000840,M0595,Time Decay,10,Search
O00000841,M0671,Linear,9,Affiliate
O00000842,M0521,Time Decay,28,Social
O00000847,M0964,Linear,30,Affiliate
O00000848,M0271,Linear,29,Affiliate
O00000849,M0114,Linear,23,Affiliate
O00000850,M0066,First Click,26,Email
O00000851,M0947,Linear,4,Email
O00000852,M0404,First Click,7,Social
O00000853,M0749,First Click,20,Affiliate
O00000854,M0395,Last Click,13,Search
O00000855,M0097,Time Decay,3,Search
O00000856,M0139,First Click,0,Social
O00000859,M0440,Time Decay,15,Affiliate
O00000860,M0177,Linear,10,Affiliate
O00000861,M0465,Last Click,29,Social
O00000863,M0259,First Click,17,Email
O00000866,M0655,First Click,13,Social
O00000868,M0312,Last Click,26,Search
O00000869,M0196,Time Decay,5,Search
O00000874,M0484,Last Click,29,Search
O00000876,M0766,Time Decay,28,Email
O00000879,M0426,First Click,25,Affiliate
O00000880,M0368,First Click,23,Social
O00000881,M0993,Linear,22,Affiliate
O00000882,M0323,Linear,25,Social
O00000883,M0801,First Click,5,Search
O00000884,M0806,Time Decay,26,Email
O00000885,M0521,Linear,2,Social
O00000886,M0064,Last Click,5,Affiliate
O00000888,M0382,First Click,0,Social
O00000889,M0914,First Click,14,Affiliate
O00000892,M0679,Last Click,8,Social
O00000893,M0778,First Click,1,Search
O00000894,M0458,Time Decay,9,Affiliate
O00000895,M0052,Linear,22,Email
O00000896,M0829,Linear,11,Email
O00000897,M0693,First Click,30,Affiliate
O00000898,M0318,First Click,14,Affiliate
O00000900,M0292,Time Decay,22,Email
O00000901,M0172,Time Decay,24,Social
O00000902,M0431,First Click,24,Search
O00000903,M0763,Last Click,16,Affiliate
O00000904,M0774,Linear,2,Affiliate
O00000906,M0211,First Click,18,Email
O00000907,M0886,First Click,10,Search
O00000909,M0438,First Click,22,Search
O00000910,M0179,Last Click,28,Social
O00000911,M0441,Last Click,14,Social
O00000912,M0963,Time Decay,14,Affiliate
O00000913,M0342,Time Decay,21,Email
O00000916,M0927,Last Click,23,Affiliate
O00000917,M0197,Last Click,1,Social
O00000918,M0832,Last Click,17,Affiliate
O00000921,M0245,Time Decay,1,Social
O00000922,M0201,First Click,24,Affiliate
O00000923,M0779,Time Decay,11,Search
O00000925,M0038,Time Decay,12,Email
O00000926,M0946,First Click,20,Search
O00000928,M0752,Time Decay,16,Social
O00000929,M0982,First Click,26,Social
O00000930,M0906,Last Click,9,Social
O00000931,M0794,Time Decay,17,Email
O00000932,M0576,First Click,7,Affiliate
O00000933,M0142,First Click,8,Search
O00000934,M0253,Last Click,1,Affiliate
O00000936,M0517,Last Click,7,Affiliate
O00000937,M0472,Last Click,19,Social
O00000938,M0979,Last Click,7,Email
O00000940,M0429,First Click,17,Email
O00000941,M0074,Last Click,4,Affiliate
O00000942,M0377,Linear,7,Search
O00000945,M0151,Linear,7,Affiliate
O00000946,M0177,First Click,21,Affiliate
O00000947,M0415,Time Decay,9,Social
O00000948,M0610,First Click,20,Affiliate
O00000949,M0946,Time Decay,1,Search
O00000952,M0030,Linear,22,Search
O00000953,M0512,First Click,9,Affiliate
O00000954,M0267,Time Decay,7,Affiliate
O00000956,M0046,First Click,25,Social
O00000957,M0753,Last Click,17,Email
O00000958,M0973,Time Decay,17,Affiliate
O00000959,M0429,Time Decay,7,Email
O00000960,M0539,Linear,20,Affiliate
O00000961,M0738,Time Decay,27,Email
O00000962,M0633,First Click,1,Affiliate
O00000963,M0435,Last Click,27,Email
O00000964,M0073,First Click,15,Email
O00000965,M0518,Linear,9,Search
O00000967,M0694,First Click,30,Email
O00000972,M0443,First Click,12,Affiliate
O00000974,M0519,Linear,12,Social
O00000975,M0178,Linear,9,Search
O00000976,M0610,Time Decay,14,Affiliate
O00000977,M0070,Time Decay,24,Social
O00000980,M0194,Time Decay,1,Email
O00000981,M0116,First Click,23,Email
O00000982,M0866,Linear,17,Affiliate
O00000984,M0236,Time Decay,9,Search
O00000985,M0516,Linear,7,Search
O00000986,M0565,First Click,15,Search
O00000987,M0762,Linear,8,Email
O00000989,M0124,Time Decay,14,Social
O00000990,M0721,Linear,5,Email
